"day","Date","Day","BirthEvents","Samplings","Cases","SuspectedCases","Lineages","TotalCases","PropSequencedTotal"
60,2014-05-20,60,2,0,2,0,44,2,0
61,2014-05-21,61,6,0,4,0,51,4,0
62,2014-05-22,62,4,0,6,0,55,6,0
63,2014-05-23,63,3,0,0,1,57,1,0
64,2014-05-24,64,2,0,0,2,60,2,0
65,2014-05-25,65,2,0,0,0,61,0,NA
66,2014-05-26,66,2,0,1,9,63,10,0
67,2014-05-27,67,3,0,3,5,66,8,0
68,2014-05-28,68,0,0,0,2,66,2,0
69,2014-05-29,69,0,0,7,5,66,12,0
70,2014-05-30,70,1,0,7,0,67,7,0
71,2014-05-31,71,2,0,2,0,68,2,0
72,2014-06-01,72,0,1,5,0,69,5,0.2
73,2014-06-02,73,1,1,2,0,67,2,0.5
74,2014-06-03,74,0,4,1,0,62,1,4
75,2014-06-04,75,3,3,0,0,62,0,Inf
76,2014-06-05,76,0,3,3,0,61,3,1
77,2014-06-06,77,1,0,7,0,63,7,0
78,2014-06-07,78,2,0,4,0,65,4,0
79,2014-06-08,79,4,1,6,0,67,6,0.166666666666667
80,2014-06-09,80,2,0,1,0,68,1,0
81,2014-06-10,81,1,3,29,0,67,29,0.103448275862069
82,2014-06-11,82,3,0,1,0,70,1,0
83,2014-06-12,83,3,1,10,0,70,10,0.1
84,2014-06-13,84,0,2,20,0,71,20,0.1
85,2014-06-14,85,2,0,17,0,71,17,0
86,2014-06-15,86,3,4,4,0,63,4,1
87,2014-06-16,87,2,9,1,0,61,1,9
88,2014-06-17,88,2,3,4,0,60,4,0.75
89,2014-06-18,89,1,5,8,0,53,8,0.625
90,2014-06-19,90,2,7,11,0,52,11,0.636363636363636
91,2014-06-20,91,2,2,9,0,54,9,0.222222222222222
92,2014-06-21,92,2,0,3,0,54,3,0
93,2014-06-22,93,2,2,3,0,55,3,0.666666666666667
94,2014-06-23,94,1,1,2,0,56,2,0.5
95,2014-06-24,95,0,0,9,0,54,9,0
96,2014-06-25,96,0,2,9,0,53,9,0.222222222222222
97,2014-06-26,97,1,1,14,0,54,14,0.0714285714285714
98,2014-06-27,98,1,0,15,0,56,15,0
99,2014-06-28,99,1,0,21,0,57,21,0
100,2014-06-29,100,1,0,9,0,57,9,0
101,2014-06-30,101,1,0,15,0,59,15,0
102,2014-07-01,102,3,0,12,0,61,12,0
103,2014-07-02,103,2,0,11,0,63,11,0
104,2014-07-03,104,3,0,4,0,67,4,0
105,2014-07-04,105,2,0,11,0,67,11,0
106,2014-07-05,106,1,1,17,0,67,17,0.0588235294117647
107,2014-07-06,107,2,1,9,0,68,9,0.111111111111111
108,2014-07-07,108,2,1,18,0,69,18,0.0555555555555556
109,2014-07-08,109,2,1,11,0,69,11,0.0909090909090909
110,2014-07-09,110,5,3,8,0,75,8,0.375
