"Week","District","Cases","Region","ADM1"
44,"Bombali",19,"Bombali","Northern"
44,"Bo",11,"Bo","Southern"
44,"Kambia",10,"Kambia","Northern"
44,"Kailahun",2,"Kailahun","Eastern"
44,"WesternUrban",114,"WesternUrban","Western"
44,"PortLoko",78,"PortLoko","Northern"
44,"Tonkolili",21,"Tonkolili","Northern"
44,"WesternRural",26,"WesternRural","Western"
44,"Koinadugu",2,"Koinadugu","Northern"
44,"Kono",18,"Kono","Eastern"
44,"Kenema",3,"Kenema","Eastern"
45,"WesternUrban",92,"WesternUrban","Western"
45,"Kono",19,"Kono","Eastern"
45,"Bombali",25,"Bombali","Northern"
45,"Moyamba",5,"Moyamba","Southern"
45,"Tonkolili",18,"Tonkolili","Northern"
45,"PortLoko",68,"PortLoko","Northern"
45,"WesternRural",30,"WesternRural","Western"
45,"Bo",3,"Bo","Southern"
45,"Kambia",2,"Kambia","Northern"
45,"Koinadugu",5,"Koinadugu","Northern"
45,"Bonthe",1,"Bonthe","Southern"
46,"WesternUrban",137,"WesternUrban","Western"
46,"WesternRural",37,"WesternRural","Western"
46,"Bombali",5,"Bombali","Northern"
46,"Bo",3,"Bo","Southern"
46,"Tonkolili",6,"Tonkolili","Northern"
46,"Kambia",11,"Kambia","Northern"
46,"Koinadugu",6,"Koinadugu","Northern"
46,"Kono",53,"Kono","Eastern"
46,"Moyamba",5,"Moyamba","Southern"
46,"PortLoko",42,"PortLoko","Northern"
47,"WesternUrban",66,"WesternUrban","Western"
47,"Bombali",5,"Bombali","Northern"
47,"Kono",18,"Kono","Eastern"
47,"PortLoko",42,"PortLoko","Northern"
47,"WesternRural",59,"WesternRural","Western"
47,"Moyamba",9,"Moyamba","Southern"
47,"Kambia",11,"Kambia","Northern"
47,"Kailahun",5,"Kailahun","Eastern"
47,"Tonkolili",2,"Tonkolili","Northern"
47,"Bo",2,"Bo","Southern"
48,"WesternUrban",84,"WesternUrban","Western"
48,"Kambia",18,"Kambia","Northern"
48,"Kono",18,"Kono","Eastern"
48,"Koinadugu",1,"Koinadugu","Northern"
48,"PortLoko",34,"PortLoko","Northern"
48,"WesternRural",23,"WesternRural","Western"
48,"Bo",4,"Bo","Southern"
48,"Tonkolili",1,"Tonkolili","Northern"
48,"Bombali",5,"Bombali","Northern"
48,"Moyamba",2,"Moyamba","Southern"
49,"Bombali",2,"Bombali","Northern"
49,"Bo",1,"Bo","Southern"
49,"Kambia",10,"Kambia","Northern"
49,"Kono",6,"Kono","Eastern"
49,"WesternUrban",38,"WesternUrban","Western"
49,"WesternRural",18,"WesternRural","Western"
49,"PortLoko",28,"PortLoko","Northern"
49,"Tonkolili",2,"Tonkolili","Northern"
49,"Moyamba",3,"Moyamba","Southern"
50,"WesternUrban",34,"WesternUrban","Western"
50,"Kambia",5,"Kambia","Northern"
50,"PortLoko",17,"PortLoko","Northern"
50,"Kono",9,"Kono","Eastern"
50,"WesternRural",19,"WesternRural","Western"
50,"Bombali",3,"Bombali","Northern"
50,"Koinadugu",1,"Koinadugu","Northern"
50,"Tonkolili",1,"Tonkolili","Northern"
50,"Moyamba",2,"Moyamba","Southern"
51,"WesternUrban",32,"WesternUrban","Western"
51,"PortLoko",36,"PortLoko","Northern"
51,"Moyamba",1,"Moyamba","Southern"
51,"Kambia",5,"Kambia","Northern"
51,"Kenema",2,"Kenema","Eastern"
51,"WesternRural",9,"WesternRural","Western"
51,"Kono",3,"Kono","Eastern"
51,"Tonkolili",1,"Tonkolili","Northern"
51,"Bombali",1,"Bombali","Northern"
52,"PortLoko",14,"PortLoko","Northern"
52,"WesternRural",10,"WesternRural","Western"
52,"WesternUrban",29,"WesternUrban","Western"
52,"Kambia",9,"Kambia","Northern"
52,"Moyamba",3,"Moyamba","Southern"
52,"Kono",3,"Kono","Eastern"
52,"Koinadugu",1,"Koinadugu","Northern"
52,"Bombali",1,"Bombali","Northern"
52,"Tonkolili",1,"Tonkolili","Northern"
53,"WesternRural",12,"WesternRural","Western"
53,"Kambia",7,"Kambia","Northern"
53,"Tonkolili",4,"Tonkolili","Northern"
53,"WesternUrban",55,"WesternUrban","Western"
53,"PortLoko",8,"PortLoko","Northern"
53,"Moyamba",1,"Moyamba","Southern"
54,"WesternRural",6,"WesternRural","Western"
54,"PortLoko",16,"PortLoko","Northern"
54,"Kambia",7,"Kambia","Northern"
54,"WesternUrban",22,"WesternUrban","Western"
54,"Bombali",12,"Bombali","Northern"
54,"Kono",1,"Kono","Eastern"
55,"Kambia",4,"Kambia","Northern"
55,"Koinadugu",1,"Koinadugu","Northern"
55,"WesternRural",5,"WesternRural","Western"
55,"PortLoko",12,"PortLoko","Northern"
55,"WesternUrban",35,"WesternUrban","Western"
55,"Bombali",6,"Bombali","Northern"
55,"Tonkolili",1,"Tonkolili","Northern"
56,"WesternRural",11,"WesternRural","Western"
56,"Bombali",14,"Bombali","Northern"
56,"Kambia",6,"Kambia","Northern"
56,"PortLoko",9,"PortLoko","Northern"
56,"WesternUrban",37,"WesternUrban","Western"
56,"Kono",1,"Kono","Eastern"
56,"Kenema",1,"Kenema","Eastern"
57,"WesternRural",4,"WesternRural","Western"
57,"Bombali",6,"Bombali","Northern"
57,"WesternUrban",23,"WesternUrban","Western"
57,"PortLoko",8,"PortLoko","Northern"
57,"Koinadugu",2,"Koinadugu","Northern"
57,"Kambia",5,"Kambia","Northern"
58,"PortLoko",9,"PortLoko","Northern"
58,"Bombali",6,"Bombali","Northern"
58,"WesternUrban",13,"WesternUrban","Western"
58,"Kambia",9,"Kambia","Northern"
58,"WesternRural",5,"WesternRural","Western"
59,"PortLoko",5,"PortLoko","Northern"
59,"WesternUrban",8,"WesternUrban","Western"
59,"Kambia",2,"Kambia","Northern"
59,"WesternRural",2,"WesternRural","Western"
59,"Bombali",1,"Bombali","Northern"
60,"WesternUrban",13,"WesternUrban","Western"
60,"PortLoko",2,"PortLoko","Northern"
60,"Kailahun",1,"Kailahun","Eastern"
60,"Kambia",2,"Kambia","Northern"
61,"Kambia",4,"Kambia","Northern"
61,"WesternUrban",2,"WesternUrban","Western"
61,"PortLoko",2,"PortLoko","Northern"
62,"WesternUrban",6,"WesternUrban","Western"
62,"Koinadugu",1,"Koinadugu","Northern"
62,"Kambia",4,"Kambia","Northern"
63,"Kambia",6,"Kambia","Northern"
63,"WesternRural",3,"WesternRural","Western"
63,"WesternUrban",4,"WesternUrban","Western"
64,"Kambia",3,"Kambia","Northern"
64,"WesternUrban",1,"WesternUrban","Western"
64,"WesternRural",1,"WesternRural","Western"
64,"PortLoko",1,"PortLoko","Northern"
65,"WesternUrban",3,"WesternUrban","Western"
65,"WesternRural",1,"WesternRural","Western"
66,"WesternUrban",7,"WesternUrban","Western"
66,"Kambia",1,"Kambia","Northern"
66,"PortLoko",5,"PortLoko","Northern"
66,"WesternRural",1,"WesternRural","Western"
67,"WesternUrban",1,"WesternUrban","Western"
68,"WesternUrban",2,"WesternUrban","Western"
68,"PortLoko",10,"PortLoko","Northern"
68,"WesternRural",1,"WesternRural","Western"
68,"Kambia",2,"Kambia","Northern"
69,"PortLoko",11,"PortLoko","Northern"
69,"Kambia",4,"Kambia","Northern"
70,"PortLoko",7,"PortLoko","Northern"
70,"Kambia",7,"Kambia","Northern"
70,"WesternUrban",1,"WesternUrban","Western"
71,"Kambia",1,"Kambia","Northern"
71,"PortLoko",3,"PortLoko","Northern"
71,"WesternUrban",4,"WesternUrban","Western"
72,"Kambia",4,"Kambia","Northern"
72,"WesternUrban",4,"WesternUrban","Western"
72,"PortLoko",2,"PortLoko","Northern"
73,"Kambia",2,"Kambia","Northern"
73,"PortLoko",2,"PortLoko","Northern"
73,"WesternUrban",4,"WesternUrban","Western"
74,"PortLoko",3,"PortLoko","Northern"
74,"Kambia",3,"Kambia","Northern"
74,"WesternUrban",10,"WesternUrban","Western"
75,"WesternUrban",2,"WesternUrban","Western"
75,"PortLoko",1,"PortLoko","Northern"
76,"WesternUrban",1,"WesternUrban","Western"
76,"Tonkolili",1,"Tonkolili","Northern"
77,"Tonkolili",2,"Tonkolili","Northern"
78,"WesternUrban",2,"WesternUrban","Western"
81,"Kambia",1,"Kambia","Northern"
82,"Kambia",3,"Kambia","Northern"
83,"Kambia",2,"Kambia","Northern"
83,"Bombali",1,"Bombali","Northern"
