"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
0.0319148936170213,0.0638297872340426,0.148936170212766,0.180851063829787,0.202127659574468,0.287234042553191,0.319148936170213,0.319148936170213,0.478723404255319,0.563829787234043,0.638297872340426,0.659574468085107,0.765957446808511,0.75531914893617,0.851063829787234,0.872340425531915,0.946808510638298,0.98936170212766,1
0,0.0202020202020202,0.0606060606060606,0.0808080808080808,0.131313131313131,0.141414141414141,0.181818181818182,0.191919191919192,0.222222222222222,0.262626262626262,0.343434343434344,0.363636363636364,0.424242424242424,0.464646464646465,0.505050505050505,0.555555555555556,0.616161616161616,0.656565656565656,0.707070707070707
0.0111111111111111,0.0222222222222222,0.0333333333333333,0.0333333333333333,0.0444444444444445,0.0777777777777778,0.0777777777777778,0.111111111111111,0.133333333333333,0.188888888888889,0.188888888888889,0.255555555555556,0.311111111111111,0.444444444444444,0.511111111111111,0.566666666666667,0.633333333333333,0.711111111111111,0.755555555555555
0.0111111111111111,0.0555555555555555,0.133333333333333,0.177777777777778,0.244444444444444,0.311111111111111,0.311111111111111,0.4,0.422222222222222,0.488888888888889,0.5,0.622222222222222,0.688888888888889,0.7,0.744444444444445,0.8,0.844444444444445,0.844444444444445,0.888888888888889
0.0352941176470588,0.0705882352941177,0.188235294117647,0.247058823529412,0.341176470588235,0.341176470588235,0.411764705882353,0.541176470588235,0.564705882352941,0.682352941176471,0.752941176470588,0.835294117647059,0.858823529411765,0.941176470588235,0.988235294117647,1,1,1,1
0,0,0,0.0202020202020202,0.0101010101010101,0,0.0101010101010101,0.0404040404040404,0.0404040404040404,0.0606060606060606,0.101010101010101,0.151515151515152,0.212121212121212,0.252525252525252,0.353535353535353,0.545454545454546,0.676767676767677,0.888888888888889,0.929292929292929
0.0103092783505155,0.0412371134020618,0.0309278350515464,0.123711340206186,0.164948453608247,0.206185567010309,0.216494845360825,0.22680412371134,0.247422680412371,0.257731958762887,0.268041237113402,0.268041237113402,0.288659793814433,0.309278350515464,0.309278350515464,0.381443298969072,0.494845360824742,0.649484536082474,0.783505154639175
0,0.0104166666666667,0.0208333333333333,0.0208333333333333,0.03125,0.03125,0.0208333333333333,0.0520833333333333,0.0625,0.0625,0.125,0.145833333333333,0.1875,0.322916666666667,0.354166666666667,0.4375,0.447916666666667,0.53125,0.645833333333333
0,0,0,0.0112359550561798,0.0112359550561798,0.044943820224719,0.0561797752808989,0.0898876404494381,0.0898876404494381,0.0674157303370786,0.157303370786517,0.168539325842697,0.202247191011236,0.213483146067416,0.280898876404494,0.269662921348314,0.382022471910113,0.404494382022472,0.606741573033708
0.0108695652173913,0.032608695652174,0.0434782608695651,0.0543478260869565,0.0434782608695652,0.0652173913043479,0.0652173913043479,0.0978260869565217,0.119565217391304,0.152173913043478,0.25,0.315217391304348,0.445652173913044,0.565217391304348,0.652173913043478,0.717391304347826,0.815217391304348,0.869565217391304,1
