"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch"
11,0.394000000000001,-133.420144737796,-133.306995408689,0.113149329107415,2748,0.135716632,0.017518048,0.00034649,1097,22,0.593406593406593,0.18947605105016,0.18947605105016,0.18947605105016,0.0231832483956538,0.0231832483956538,0.0231832483956538,0.000631707516774743,0.000631707516774743,0.000631707516774743,0.105263157894737,0.894736842105263,0.105263157894737,0.105263157894737,0.368421052631579,0.210526315789474,505822345167,"1"
12,0.0379999999999999,-1651.15469084876,-1607.32634846276,43.8283423859975,8085,0.00948016,0.012033159,0.000669991,4528,252,0.676767676767677,0.13720726036075,0.13720726036075,0.13720726036075,0.0186205435924984,0.0186205435924984,0.0186205435924984,0.000831679921002116,0.000831679921002116,0.000831679921002116,0,0.526315789473684,0.526315789473684,0,0.473684210526316,0.526315789473684,1441918309625,"1"
13,0.256499999999998,-148.413838230036,-148.279841680121,0.133996549914457,2326,0.171892414,0.009194553,0.000542292,453,27,0.529411764705882,0.16374358775495,0.16374358775495,0.16374358775495,0.0164830185793931,0.0164830185793931,0.0164830185793931,0.000916372633358176,0.000916372633358176,0.000916372633358176,0.473684210526316,0.210526315789474,0.263157894736842,0.789473684210526,0.105263157894737,0.210526315789474,423591405833,"1"
14,0.321,-211.672237506267,-210.682938983959,0.989298522308019,2904,0.136257644,0.023786738,0.000649044,1401,38,0.651162790697674,0.194905402237951,0.194905402237951,0.194905402237951,0.0247623389103713,0.0247623389103713,0.0247623389103713,0.000778740524344749,0.000778740524344749,0.000778740524344749,0.105263157894737,0.789473684210526,0.842105263157894,0.105263157894737,0.894736842105263,0.526315789473684,638421884542,"1"
15,0.483,-251.129803449152,-250.097975043532,1.0318284056199,1249,0.221448955,0.023509855,0.00129882,771,43,0.610526315789474,0.243321452156133,0.243321452156133,0.243321452156133,0.0244409796434523,0.0244409796434523,0.0244409796434523,0.00114060143129057,0.00114060143129057,0.00114060143129057,0.526315789473684,0.789473684210526,0.526315789473684,0.684210526315789,0.894736842105263,0.578947368421053,489492919625,"1"
16,0.1875,-559.637993654628,-553.953796799781,5.68419685484696,8982,0.005668163,0.004729125,0.000188174,2336,93,0.217391304347826,0.181251888169525,0.181251888169525,0.181251888169525,0.0127466273361287,0.0127466273361287,0.0127466273361287,0.000590847849169952,0.000590847849169952,0.000590847849169952,0,0,0,0,0.0526315789473684,0.157894736842105,936478311833,"1"
17,0.587,-101.072385809562,-100.579610429759,0.492775379803078,699,0.222799595,0.010336318,0.000546618,266,14,0.77,0.170108744188478,0.170108744188478,0.170108744188478,0.019309265443163,0.019309265443163,0.019309265443163,0.00104477770607176,0.00104477770607176,0.00104477770607176,0.105263157894737,0.0526315789473684,0,0.105263157894737,0.0526315789473684,0.0526315789473684,347008253334,"1"
18,0.0839999999999991,-545.833205065066,-545.261336495797,0.571868569269554,4121,0.109101932,0.024326146,0.001398735,1734,100,0.174418604651163,0.22227842825899,0.22227842825899,0.22227842825899,0.0251183357184711,0.0251183357184711,0.0251183357184711,0.00137788348331507,0.00137788348331507,0.00137788348331507,0,0.789473684210526,0.631578947368421,0,0.842105263157894,0.894736842105263,960172280958,"1"
19,0.4305,-274.761445703753,-274.655285391859,0.106160311893518,1118,0.2474556,0.02242297,0.002007972,548,49,0.744897959183674,0.203788611375637,0.203788611375637,0.203788611375637,0.0228226634828099,0.0228226634828099,0.0228226634828099,0.00160065291439582,0.00160065291439582,0.00160065291439582,0.157894736842105,0.789473684210526,0.0526315789473684,0.210526315789474,0.947368421052631,0.105263157894737,432388038333,"1"
20,0.121000000000002,-1618.46855455568,-820.711061314572,797.757493241112,4103,0.100578637,0.027742854,0.001863212,2074,139,0.552083333333333,0.132564035323588,0.132564035323588,0.132564035323588,0.0227306373380936,0.0227306373380936,0.0227306373380936,0.000965401899644487,0.000965401899644487,0.000965401899644487,0.526315789473684,0.263157894736842,0.105263157894737,0.736842105263158,0.421052631578947,0.210526315789474,1132515882458,"1"
21,0.1525,-1184.2873031978,-1181.95021564602,2.33708755177759,2843,0.12297095,0.041341851,0.003398462,2354,194,0.211764705882353,0.265328112566822,0.265328112566822,0.265328112566822,0.0266852909624596,0.0266852909624596,0.0266852909624596,0.00190579771852042,0.00190579771852042,0.00190579771852042,0,0,0,0,0,0,1405281578083,"1"
22,0.120000000000001,-724.645230745958,-728.745178782822,4.09994803686379,2445,0.157706941,0.032094953,0.002542951,1554,123,0.269662921348315,0.197864561228108,0.197864561228108,0.197864561228108,0.0242072151386012,0.0242072151386012,0.0242072151386012,0.00153934787191497,0.00153934787191497,0.00153934787191497,0.0526315789473684,0.210526315789474,0,0.210526315789474,0.31578947368421,0,1058521388792,"1"
23,0.119,-674.094616080781,-675.251641968198,1.15702588741692,5515,0.063161822,0.018546469,0.0009556,2245,116,0.222222222222222,0.144041934439285,0.144041934439285,0.144041934439285,0.0196367023454381,0.0196367023454381,0.0196367023454381,0.000989469678985503,0.000989469678985503,0.000989469678985503,0,0.894736842105263,0.684210526315789,0,0.684210526315789,0.842105263157894,1184267359583,"1"
24,0.0950000000000003,-385.962315333673,-383.933606498844,2.02870883482905,4352,0.101357083,0.011668062,0.000779595,1048,70,0.230769230769231,0.171208591924658,0.171208591924658,0.171208591924658,0.0191057229448842,0.0191057229448842,0.0191057229448842,0.000998259737090621,0.000998259737090621,0.000998259737090621,0,0,0,0,0,0.105263157894737,661631096042,"1"
25,0.300999999999999,-90.7741348487357,-89.69949030976,1.07464453897563,4321,0.092216832,0.009749583,0.00013871,968,14,0.22680412371134,0.205719139785507,0.205719139785507,0.205719139785507,0.03162591498697,0.03162591498697,0.03162591498697,0.000696566809304339,0.000696566809304339,0.000696566809304339,0,0,0,0,0,0,405123391125,"1"
26,0.357,-294.827058760133,-295.436641865781,0.609583105648028,3684,0.100755824,0.021408648,0.000669424,1731,54,0.388888888888889,0.249529798842374,0.249529798842374,0.249529798842374,0.0236076625162449,0.0236076625162449,0.0236076625162449,0.000778488452867286,0.000778488452867286,0.000778488452867286,0,0.842105263157894,0.578947368421053,0,0.684210526315789,0.578947368421053,724251454583,"1"
27,0.101499999999999,-914.891863700872,-928.315146249693,13.4232825488219,5385,0.062560853,0.018257881,0.001185068,2356,153,0.8,0.148192024427129,0.148192024427129,0.148192024427129,0.0156808235149343,0.0156808235149343,0.0156808235149343,0.0010933022552565,0.0010933022552565,0.0010933022552565,0,0.526315789473684,0.473684210526316,0,0.736842105263158,0.842105263157894,1780749206625,"1"
28,0.0779999999999998,-1621.47670970587,-1625.52693426311,4.05022455723702,6227,0.006043182,0.041364169,0.001248391,8424,254,0.0808080808080808,0.237368928438277,0.237368928438277,0.237368928438277,0.0307498255932654,0.0307498255932654,0.0307498255932654,0.000962991908874047,0.000962991908874047,0.000962991908874047,0,0,0,0,0,0,2861665826124,"1"
29,0.0124999999999999,-1351.78830252128,-1345.26847307108,6.51982945019427,6314,0.034230488,0.030939481,0.001407472,4788,218,0.15,0.152369466677288,0.152369466677288,0.152369466677288,0.0295325634730301,0.0295325634730301,0.0295325634730301,0.00122456431782321,0.00122456431782321,0.00122456431782321,0,0.526315789473684,0,0,0.684210526315789,0.157894736842105,3133834522667,"1"
30,0.417,-149.266146997124,-149.450582204812,0.184435207687272,1355,0.21932328,0.041654973,0.000815597,1239,24,1.0625,0.209812673223089,0.209812673223089,0.209812673223089,0.0371416846657074,0.0371416846657074,0.0371416846657074,0.000777947546867577,0.000777947546867577,0.000777947546867577,0.473684210526316,0.31578947368421,0.631578947368421,0.842105263157894,0.421052631578947,0.789473684210526,1102136580667,"1"
31,0.4225,-127.346149103197,-126.331755222558,1.01439388063838,2322,0.199302428,0.015503432,0.000602705,609,24,0.861111111111111,0.241468230799684,0.241468230799684,0.241468230799684,0.0190197144475445,0.0190197144475445,0.0190197144475445,0.000783975471314629,0.000783975471314629,0.000783975471314629,0.368421052631579,0.684210526315789,0.842105263157894,0.31578947368421,0.526315789473684,0.421052631578947,915064849542,"1"
32,0.394000000000001,-196.726848509556,-194.849154082026,1.87769442752989,1519,0.225911627,0.018312269,0.001115404,612,37,1.16867469879518,0.18198567211686,0.18198567211686,0.18198567211686,0.0198978371715547,0.0198978371715547,0.0198978371715547,0.00109798965686044,0.00109798965686044,0.00109798965686044,0.105263157894737,0.631578947368421,0.631578947368421,0.31578947368421,0.789473684210526,1,428866040541,"1"
33,0.5505,-104.811892225168,-105.520863139217,0.708970914049033,998,0.25530929,0.01513946,0.000684178,352,16,1.17391304347826,0.198001059108047,0.198001059108047,0.198001059108047,0.0192605208450353,0.0192605208450353,0.0192605208450353,0.000787936181428432,0.000787936181428432,0.000787936181428432,0.157894736842105,0.894736842105263,0.631578947368421,0.210526315789474,0.421052631578947,0.736842105263158,301474715000,"1"
34,0.3865,-239.327692984033,-239.360165256931,0.0324722728980475,5872,0.057450801,0.005910462,0.000274183,897,42,0.63265306122449,0.131120322926323,0.131120322926323,0.131120322926323,0.0179924716575522,0.0179924716575522,0.0179924716575522,0.000865145093842315,0.000865145093842315,0.000865145093842315,0,0,0,0,0,0,482303842542,"1"
35,0.4055,-209.350781761014,-209.729320098745,0.378538337731584,2361,0.163155077,0.01440996,0.000808263,679,38,0.410526315789474,0.180168652851194,0.180168652851194,0.180168652851194,0.0195286646376662,0.0195286646376662,0.0195286646376662,0.00106678794129664,0.00106678794129664,0.00106678794129664,0.789473684210526,0.263157894736842,0.157894736842105,0.473684210526316,0.105263157894737,0.210526315789474,458790482542,"1"
36,0.0520000000000003,-663.976813816689,-662.248219208744,1.72859460794416,5593,0.051654736,0.016553564,0.000795784,2335,112,0.247524752475248,0.110946773400222,0.110946773400222,0.110946773400222,0.0178721891547713,0.0178721891547713,0.0178721891547713,0.000999266483383768,0.000999266483383768,0.000999266483383768,0,0.526315789473684,0.421052631578947,0,0.842105263157894,0.31578947368421,964188356958,"1"
37,0.184,-619.017941546576,-621.969480999248,2.95153945267236,3042,0.146876775,0.029719099,0.002019455,1595,108,0.375,0.213430877843773,0.213430877843773,0.213430877843773,0.0198678521239356,0.0198678521239356,0.0198678521239356,0.00130063316979743,0.00130063316979743,0.00130063316979743,0,0,0,0.157894736842105,0.0526315789473684,0,1170445224125,"1"
38,0.425999999999999,-496.011730638721,-493.914668363106,2.09706227561526,1629,0.196915128,0.038868932,0.002581524,1318,88,0.943820224719101,0.220998865745264,0.220998865745264,0.220998865745264,0.0285266078423437,0.0285266078423437,0.0285266078423437,0.00160313868330328,0.00160313868330328,0.00160313868330328,0.894736842105263,0.105263157894737,0,0.526315789473684,0.105263157894737,0,630190566458,"1"
39,0.362,-620.580671613247,-619.775742531937,0.804929081310092,3307,0.115608187,0.019401086,0.001440182,1448,108,0.329896907216495,0.179749735397414,0.179749735397414,0.179749735397414,0.018715530547186,0.018715530547186,0.018715530547186,0.00126393406525193,0.00126393406525193,0.00126393406525193,0,0.894736842105263,0.31578947368421,0,0.842105263157894,0.421052631578947,760692053916,"1"
40,0.206000000000002,-240.03836788343,-255.888157515078,15.8497896316482,1365,0.200591677,0.025738602,0.001227173,860,41,0.714285714285714,0.288446955925747,0.288446955925747,0.288446955925747,0.0169056787295098,0.0169056787295098,0.0169056787295098,0.00114542384283732,0.00114542384283732,0.00114542384283732,0.0526315789473684,0.210526315789474,0.210526315789474,0.105263157894737,0.31578947368421,0.578947368421053,701227290458,"1"
41,0.171,-57.7355199331463,-58.5942287201314,0.858708786985112,257,0.287123647,0.019819686,0.000496461,180,5,1.3030303030303,0.200484729012109,0.200484729012109,0.200484729012109,0.0283218450113953,0.0283218450113953,0.0283218450113953,0.00130301001162048,0.00130301001162048,0.00130301001162048,0,0,0,0,0.0526315789473684,0,248508037041,"1"
42,0.208499999999999,-35.1296167066759,-38.9944868132442,3.86487010656825,2593,0.188486486,0.016631798,4.07e-05,677,2,0.380281690140845,0.210767434875591,0.210767434875591,0.210767434875591,0.0211950744890814,0.0211950744890814,0.0211950744890814,0.000450615602276312,0.000450615602276312,0.000450615602276312,0.736842105263158,0.421052631578947,0,0.421052631578947,0.526315789473684,0,433269708125,"1"
43,0.4895,-295.853737119061,-295.132002269275,0.721734849785776,967,0.222411483,0.03093397,0.001815471,866,51,0.329787234042553,0.175376859224307,0.175376859224307,0.175376859224307,0.0250083754680863,0.0250083754680863,0.0250083754680863,0.00121824067895814,0.00121824067895814,0.00121824067895814,0.105263157894737,0.421052631578947,0,0.210526315789474,0.31578947368421,0,437196910834,"1"
