"gamma","psi_distribs_0","psi_changetime_0","psi_distribs_1","psi_changetime_1","psi_distribs_2","psi_changetime_2","psi_distribs_3","psi_changetime_3","psi_distribs_4","psi_changetime_4","psi_distribs_5","psi_changetime_5","psi_distribs_6","psi_changetime_6","psi_distribs_7","psi_changetime_7","psi_distribs_8","psi_changetime_8","psi_distribs_9","psi_changetime_9","psi_distribs_10","phi_distribs_0","phi_changetime_0","phi_distribs_1","phi_changetime_1","phi_distribs_2","initialBeta","betaJitter","X"
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0147572939785567,98,0.00457668151131406,112,0.0176085427746513,126,0.00574643896077274,140,0.0148166041663941,154,0.00648785353902163,280,0.013521944265503,336,0.0247718629584208,406,0.0140223583935547,438,0.0240469660012087,0,54,0.0679633013999918,350,0.0244760485808275,0.124692362300235,0.00107750123479068,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
0.1,0,70,0.0138461668196731,98,0.00431690386987272,112,0.0176909635294964,126,0.00542932298620675,140,0.014370257775585,154,0.00630414624720741,280,0.0132944253068214,336,0.0245860851344605,406,0.0139778922562101,438,0.0233622306303797,0,54,0.0691318745228527,350,0.0246247886263943,0.135001646628981,0.00102595125108012,NA
