"gamma","psi_distribs_0","psi_changetime_0","psi_distribs_1","psi_changetime_1","psi_distribs_2","psi_changetime_2","psi_distribs_3","psi_changetime_3","psi_distribs_4","psi_changetime_4","psi_distribs_5","psi_changetime_5","psi_distribs_6","psi_changetime_6","psi_distribs_7","psi_changetime_7","psi_distribs_8","psi_changetime_8","psi_distribs_9","psi_changetime_9","psi_distribs_10","phi_distribs_0","phi_changetime_0","phi_distribs_1","phi_changetime_1","phi_distribs_2","initialBeta","betaJitter","X"
0.1,0,70,0.0206834632822129,98,0.0038885784173235,112,0.0206229521882149,126,0.00531813134272837,140,0.0182828586725135,154,0.00682075199119326,280,0.0113482730585092,336,0.0226506142754933,406,0.0124485982304122,438,0.0266185246582218,0,54,0.0663663006113329,350,0.0297412523981591,0.140367869983218,0.000942556763489286,NA
0.1,0,70,0.0206834632822129,98,0.0038885784173235,112,0.0206229521882149,126,0.00531813134272837,140,0.0182828586725135,154,0.00682075199119326,280,0.0113482730585092,336,0.0226506142754933,406,0.0124485982304122,438,0.0266185246582218,0,54,0.0663663006113329,350,0.0297412523981591,0.140367869983218,0.000942556763489286,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0203802242246386,98,0.00394368510903222,112,0.0216466026514638,126,0.00645452948291712,140,0.0189816677581726,154,0.0066653988685678,280,0.0106405889379031,336,0.0221129533415976,406,0.0119495913513416,438,0.026794754979002,0,54,0.0721460282522395,350,0.0302405304122412,0.134204620601713,0.000942571146171614,NA
0.1,0,70,0.0207835111209646,98,0.00402123422592635,112,0.0219129159593878,126,0.00643873163083472,140,0.0186006743250947,154,0.00773299297151198,280,0.0112732741108482,336,0.0217110026391672,406,0.00986583422228289,438,0.027573073964823,0,54,0.0711493753918095,350,0.0275732287508247,0.143843789478886,0.000991025748200423,NA
