"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","AvgLikelihood"
0.23,0.12,0.01,0.23,0.12,0.0031,-640.6935
0.23,0.12,0.01,0.23,0.12,0.0034,-635.2187
0.23,0.12,0.01,0.23,0.12,0.0037,-629.5921
0.23,0.12,0.01,0.23,0.12,0.004,-625.085
0.23,0.12,0.01,0.23,0.12,0.0043,-620.5378
0.23,0.12,0.01,0.23,0.12,0.0046,-619.1492
0.23,0.12,0.01,0.23,0.12,0.0049,-615.694
0.23,0.12,0.01,0.23,0.12,0.0053,-611.5867
0.23,0.12,0.01,0.23,0.12,0.0056,-609.4671
0.23,0.12,0.01,0.23,0.12,0.0059,-607.283
0.23,0.12,0.01,0.23,0.12,0.0062,-605.1194
0.23,0.12,0.01,0.23,0.12,0.0065,-603.6078
0.23,0.12,0.01,0.23,0.12,0.0068,-601.7863
0.23,0.12,0.01,0.23,0.12,0.0071,-600.2864
0.23,0.12,0.01,0.23,0.12,0.0074,-598.9062
0.23,0.12,0.01,0.23,0.12,0.0077,-598.1452
0.23,0.12,0.01,0.23,0.12,0.008,-596.6091
0.23,0.12,0.01,0.23,0.12,0.0083,-596.1916
0.23,0.12,0.01,0.23,0.12,0.0086,-594.611
0.23,0.12,0.01,0.23,0.12,0.0089,-593.9796
0.23,0.12,0.01,0.23,0.12,0.0092,-593.5363
0.23,0.12,0.01,0.23,0.12,0.0095,-592.7764
0.23,0.12,0.01,0.23,0.12,0.0098,-592.4055
0.23,0.12,0.01,0.23,0.12,0.0102,-591.9769
0.23,0.12,0.01,0.23,0.12,0.0105,-591.5285
0.23,0.12,0.01,0.23,0.12,0.0108,-590.8976
0.23,0.12,0.01,0.23,0.12,0.0111,-590.6368
0.23,0.12,0.01,0.23,0.12,0.0114,-590.798
0.23,0.12,0.01,0.23,0.12,0.0117,-590.4021
0.23,0.12,0.01,0.23,0.12,0.012,-589.9856
0.23,0.12,0.01,0.23,0.12,0.0123,-590.2176
0.23,0.12,0.01,0.23,0.12,0.0126,-589.8508
0.23,0.12,0.01,0.23,0.12,0.0129,-589.7986
0.23,0.12,0.01,0.23,0.12,0.0132,-589.8706
0.23,0.12,0.01,0.23,0.12,0.0135,-589.7018
0.23,0.12,0.01,0.23,0.12,0.0138,-589.4639
0.23,0.12,0.01,0.23,0.12,0.0141,-589.6449
0.23,0.12,0.01,0.23,0.12,0.0144,-589.6219
0.23,0.12,0.01,0.23,0.12,0.0147,-589.564
0.23,0.12,0.01,0.23,0.12,0.0151,-589.5665
0.23,0.12,0.01,0.23,0.12,0.0154,-589.534
0.23,0.12,0.01,0.23,0.12,0.0157,-589.7896
0.23,0.12,0.01,0.23,0.12,0.016,-589.6942
0.23,0.12,0.01,0.23,0.12,0.0163,-589.8925
0.23,0.12,0.01,0.23,0.12,0.0166,-590.0705
0.23,0.12,0.01,0.23,0.12,0.0169,-590.1864
0.23,0.12,0.01,0.23,0.12,0.0172,-590.3012
0.23,0.12,0.01,0.23,0.12,0.0175,-590.3421
0.23,0.12,0.03,0.0575,0.12,0.03,-748.5982
0.23,0.12,0.03,0.0645,0.12,0.03,-736.9135
0.23,0.12,0.03,0.0716,0.12,0.03,-726.0393
0.23,0.12,0.03,0.0786,0.12,0.03,-715.8624
0.23,0.12,0.03,0.0857,0.12,0.03,-706.2243
0.23,0.12,0.03,0.0927,0.12,0.03,-696.4174
0.23,0.12,0.03,0.0997,0.12,0.03,-687.1168
0.23,0.12,0.03,0.1068,0.12,0.03,-678.743
0.23,0.12,0.03,0.1138,0.12,0.03,-669.8541
0.23,0.12,0.03,0.1209,0.12,0.03,-662.171
0.23,0.12,0.03,0.1279,0.12,0.03,-653.6718
0.23,0.12,0.03,0.1349,0.12,0.03,-644.7418
0.23,0.12,0.03,0.142,0.12,0.03,-635.4699
0.23,0.12,0.03,0.149,0.12,0.03,-626.4305
0.23,0.12,0.03,0.1561,0.12,0.03,-615.4976
0.23,0.12,0.03,0.1631,0.12,0.03,-602.8522
0.23,0.12,0.03,0.1702,0.12,0.03,-589.0126
0.23,0.12,0.03,0.1772,0.12,0.03,-580.4045
0.23,0.12,0.03,0.1842,0.12,0.03,-574.2742
0.23,0.12,0.03,0.1913,0.12,0.03,-570.1914
0.23,0.12,0.03,0.1983,0.12,0.03,-568.0316
0.23,0.12,0.03,0.2054,0.12,0.03,-567.0098
0.23,0.12,0.03,0.2124,0.12,0.03,-566.5515
0.23,0.12,0.03,0.2194,0.12,0.03,-566.7184
0.23,0.12,0.03,0.2265,0.12,0.03,-567.1556
0.23,0.12,0.03,0.23,0.03,0.03,-548.3291
0.23,0.12,0.03,0.23,0.0337,0.03,-547.6258
0.23,0.12,0.03,0.23,0.0373,0.03,-546.8019
0.23,0.12,0.03,0.23,0.041,0.03,-546.1183
