"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity"
0.23,0.12,0.01,0.23,0.12,0.0122959183673469,-574.877764084822
0.23,0.12,0.01,0.23,0.12,0.0126020408163265,-574.936517196594
0.23,0.12,0.01,0.23,0.12,0.0129081632653061,-575.0139894651
0.23,0.12,0.01,0.23,0.12,0.0132142857142857,-575.108996933052
0.23,0.12,0.01,0.23,0.12,0.0135204081632653,-575.220452006099
0.23,0.12,0.01,0.23,0.12,0.0138265306122449,-575.347353795061
0.23,0.12,0.01,0.23,0.12,0.0141326530612245,-575.488779604658
0.23,0.12,0.01,0.23,0.12,0.0144387755102041,-575.643877412069
0.23,0.12,0.01,0.23,0.12,0.0147448979591837,-575.811859202759
0.23,0.12,0.01,0.23,0.12,0.0150510204081633,-575.991995051048
0.23,0.12,0.01,0.23,0.12,0.0153571428571429,-576.183607849536
0.23,0.12,0.01,0.23,0.12,0.0156632653061224,-576.38606860543
0.23,0.12,0.01,0.23,0.12,0.015969387755102,-576.598792233493
0.23,0.12,0.01,0.23,0.12,0.0162755102040816,-576.821233785181
0.23,0.12,0.01,0.23,0.12,0.0165816326530612,-577.052885061805
0.23,0.12,0.01,0.23,0.12,0.0168877551020408,-577.293271566647
0.23,0.12,0.01,0.23,0.12,0.0171938775510204,-577.541949756869
0.23,0.12,0.01,0.23,0.12,0.0175,-577.79850456123
0.23,0.12,0.03,0.23,0.12,0.0075,-572.327451396599
0.23,0.12,0.03,0.23,0.12,0.00841836734693878,-567.364423973362
0.23,0.12,0.03,0.23,0.12,0.00933673469387755,-563.170551457617
0.23,0.12,0.03,0.23,0.12,0.0102551020408163,-559.586001686541
0.23,0.12,0.03,0.23,0.12,0.0111734693877551,-556.494524924276
0.23,0.12,0.03,0.23,0.12,0.0120918367346939,-553.80913613936
0.23,0.12,0.03,0.23,0.12,0.0130102040816327,-551.46319055782
0.23,0.12,0.03,0.23,0.12,0.0139285714285714,-549.404595172768
0.23,0.12,0.03,0.23,0.12,0.0148469387755102,-547.591926470643
0.23,0.12,0.03,0.23,0.12,0.015765306122449,-545.991751157236
0.23,0.12,0.03,0.23,0.12,0.0166836734693878,-544.576730882599
0.23,0.12,0.03,0.23,0.12,0.0176020408163265,-543.32425233389
0.23,0.12,0.03,0.23,0.12,0.0185204081632653,-542.215418077003
0.23,0.12,0.03,0.23,0.12,0.0194387755102041,-541.234290504097
0.23,0.12,0.03,0.23,0.12,0.0203571428571429,-540.367316800835
0.23,0.12,0.03,0.23,0.12,0.0212755102040816,-539.602885620625
0.23,0.12,0.03,0.23,0.12,0.0221938775510204,-538.930981081547
0.23,0.12,0.03,0.23,0.12,0.0231122448979592,-538.342909693898
0.23,0.12,0.03,0.23,0.12,0.024030612244898,-537.831082641855
0.23,0.12,0.03,0.23,0.12,0.0249489795918367,-537.388840571959
0.23,0.12,0.03,0.23,0.12,0.0258673469387755,-537.01031137451
0.23,0.12,0.03,0.23,0.12,0.0267857142857143,-536.690293827283
0.23,0.12,0.03,0.23,0.12,0.0277040816326531,-536.424161697876
0.23,0.12,0.03,0.23,0.12,0.0286224489795918,-536.207784167415
0.23,0.12,0.03,0.23,0.12,0.0295408163265306,-536.037459377793
0.23,0.12,0.03,0.23,0.12,0.0304591836734694,-535.909858608741
0.23,0.12,0.03,0.23,0.12,0.0313775510204082,-535.821979124
0.23,0.12,0.03,0.23,0.12,0.0322959183673469,-535.771104133011
0.23,0.12,0.03,0.23,0.12,0.0332142857142857,-535.754768628178
0.23,0.12,0.03,0.23,0.12,0.0341326530612245,-535.770730101343
0.23,0.12,0.03,0.23,0.12,0.0350510204081633,-535.816943333731
0.23,0.12,0.03,0.23,0.12,0.035969387755102,-535.891538603797
0.23,0.12,0.03,0.23,0.12,0.0368877551020408,-535.9928027766
0.23,0.12,0.03,0.23,0.12,0.0378061224489796,-536.11916283341
0.23,0.12,0.03,0.23,0.12,0.0387244897959184,-536.269171476734
0.23,0.12,0.03,0.23,0.12,0.0396428571428571,-536.44149450757
0.23,0.12,0.03,0.23,0.12,0.0405612244897959,-536.634899721896
0.23,0.12,0.03,0.23,0.12,0.0414795918367347,-536.848247114238
0.23,0.12,0.03,0.23,0.12,0.0423979591836735,-537.080480209778
0.23,0.12,0.03,0.23,0.12,0.0433163265306122,-537.330618374039
0.23,0.12,0.03,0.23,0.12,0.044234693877551,-537.597749972132
0.23,0.12,0.03,0.23,0.12,0.0451530612244898,-537.881026268527
0.23,0.12,0.03,0.23,0.12,0.0460714285714286,-538.17965597419
0.23,0.12,0.03,0.23,0.12,0.0469897959183673,-538.492900361256
0.23,0.12,0.03,0.23,0.12,0.0479081632653061,-538.82006887654
0.23,0.12,0.03,0.23,0.12,0.0488265306122449,-539.160515194663
0.23,0.12,0.03,0.23,0.12,0.0497448979591837,-539.513633659543
0.23,0.12,0.03,0.23,0.12,0.0506632653061224,-539.878856069792
0.23,0.12,0.03,0.23,0.12,0.0515816326530612,-540.255648769346
0.23,0.12,0.03,0.23,0.12,0.0525,-540.643510009586
0.23,0.12,0.03,0.23,0.03,0.03,-548.378492288802
0.23,0.12,0.03,0.23,0.0336734693877551,0.03,-547.340130847672
0.23,0.12,0.03,0.23,0.0373469387755102,0.03,-546.342848634394
0.23,0.12,0.03,0.23,0.0410204081632653,0.03,-545.387229323855
0.23,0.12,0.03,0.23,0.0446938775510204,0.03,-544.473855912192
0.23,0.12,0.03,0.23,0.0483673469387755,0.03,-543.603309874892
0.23,0.12,0.03,0.23,0.0520408163265306,0.03,-542.776170271804
0.23,0.12,0.03,0.23,0.0557142857142857,0.03,-541.993012798612
0.23,0.12,0.03,0.23,0.0593877551020408,0.03,-541.254408784628
0.23,0.12,0.03,0.23,0.0630612244897959,0.03,-540.560924137114
0.23,0.12,0.03,0.23,0.066734693877551,0.03,-539.913118232674
0.23,0.12,0.03,0.23,0.0704081632653061,0.03,-539.311542756722
0.23,0.12,0.03,0.23,0.0740816326530612,0.03,-538.756740492432
0.23,0.12,0.03,0.23,0.0777551020408163,0.03,-538.249244061095
0.23,0.12,0.03,0.23,0.0814285714285714,0.03,-537.789574616301
0.23,0.12,0.03,0.23,0.0851020408163265,0.03,-537.378240494973
0.23,0.12,0.03,0.23,0.0887755102040816,0.03,-537.01573582881
0.23,0.12,0.03,0.23,0.0924489795918367,0.03,-536.702539120373
0.23,0.12,0.03,0.23,0.0961224489795918,0.03,-536.439111788666
0.23,0.12,0.03,0.23,0.0997959183673469,0.03,-536.225896689749
0.23,0.12,0.03,0.23,0.103469387755102,0.03,-536.063316618591
0.23,0.12,0.03,0.23,0.107142857142857,0.03,-535.951772799067
0.23,0.12,0.03,0.23,0.110816326530612,0.03,-535.891643369695
0.23,0.12,0.03,0.23,0.114489795918367,0.03,-535.883281873348
0.23,0.12,0.03,0.23,0.118163265306122,0.03,-535.927015759862
0.23,0.12,0.03,0.23,0.121836734693878,0.03,-536.02314491102
0.23,0.12,0.03,0.23,0.125510204081633,0.03,-536.171940197963
0.23,0.12,0.03,0.23,0.129183673469388,0.03,-536.373642081551
0.23,0.12,0.03,0.23,0.132857142857143,0.03,-536.628459266574
0.23,0.12,0.03,0.23,0.136530612244898,0.03,-536.936567421014
0.23,0.12,0.03,0.23,0.140204081632653,0.03,-537.298107971705
0.23,0.12,0.03,0.23,0.143877551020408,0.03,-537.713186987796
0.23,0.12,0.03,0.23,0.147551020408163,0.03,-538.181874163279
0.23,0.12,0.03,0.23,0.151224489795918,0.03,-538.704201909574
0.23,0.12,0.03,0.23,0.154897959183673,0.03,-539.280164568754
0.23,0.12,0.03,0.23,0.158571428571429,0.03,-539.909717757287
0.23,0.12,0.03,0.23,0.162244897959184,0.03,-540.592777849468
0.23,0.12,0.03,0.23,0.165918367346939,0.03,-541.329221608662
0.23,0.12,0.03,0.23,0.169591836734694,0.03,-542.118885973384
0.23,0.12,0.03,0.23,0.173265306122449,0.03,-542.961568003888
0.23,0.12,0.03,0.23,0.176938775510204,0.03,-543.857024993535
0.23,0.12,0.03,0.23,0.180612244897959,0.03,-544.804974747607
0.23,0.12,0.03,0.23,0.184285714285714,0.03,-545.805096030581
0.23,0.12,0.03,0.23,0.187959183673469,0.03,-546.857029181135
0.23,0.12,0.03,0.23,0.191632653061224,0.03,-547.960376892394
0.23,0.12,0.03,0.23,0.19530612244898,0.03,-549.114705153152
0.23,0.12,0.03,0.23,0.198979591836735,0.03,-550.319544344072
0.23,0.12,0.03,0.23,0.20265306122449,0.03,-551.574390481186
0.23,0.12,0.03,0.23,0.206326530612245,0.03,-552.87870659748
0.23,0.12,0.03,0.23,0.21,0.03,-554.231924251891
0.23,0.12,0.03,0.0575,0.12,0.03,-677.139972798506
0.23,0.12,0.03,0.0645408163265306,0.12,0.03,-662.651427137707
0.23,0.12,0.03,0.0715816326530612,0.12,0.03,-649.567175648058
0.23,0.12,0.03,0.0786224489795918,0.12,0.03,-637.673132320814
0.23,0.12,0.03,0.0856632653061224,0.12,0.03,-626.81201936232
0.23,0.12,0.03,0.0927040816326531,0.12,0.03,-616.865025418456
0.23,0.12,0.03,0.0997448979591837,0.12,0.03,-607.74015658221
0.23,0.12,0.03,0.106785714285714,0.12,0.03,-599.364543985119
0.23,0.12,0.03,0.113826530612245,0.12,0.03,-591.679200690649
0.23,0.12,0.03,0.120867346938776,0.12,0.03,-584.635356502646
0.23,0.12,0.03,0.127908163265306,0.12,0.03,-578.191845307118
0.23,0.12,0.03,0.134948979591837,0.12,0.03,-572.313215948248
0.23,0.12,0.03,0.141989795918367,0.12,0.03,-566.968353232154
0.23,0.12,0.03,0.149030612244898,0.12,0.03,-562.129465965784
0.23,0.12,0.03,0.156071428571429,0.12,0.03,-557.771343082769
0.23,0.12,0.03,0.163112244897959,0.12,0.03,-553.870807525006
0.23,0.12,0.03,0.17015306122449,0.12,0.03,-550.406316724743
0.23,0.12,0.03,0.17719387755102,0.12,0.03,-547.357671817798
0.23,0.12,0.03,0.184234693877551,0.12,0.03,-544.705807218534
0.23,0.12,0.03,0.191275510204082,0.12,0.03,-542.432639167566
0.23,0.12,0.03,0.198316326530612,0.12,0.03,-540.520957101092
0.23,0.12,0.03,0.205357142857143,0.12,0.03,-538.954345677493
0.23,0.12,0.03,0.212397959183673,0.12,0.03,-537.717128355162
0.23,0.12,0.03,0.219438775510204,0.12,0.03,-536.794325767753
0.23,0.12,0.03,0.226479591836735,0.12,0.03,-536.171623949568
0.23,0.12,0.03,0.233520408163265,0.12,0.03,-535.835348845012
0.23,0.12,0.03,0.240561224489796,0.12,0.03,-535.772444584661
0.23,0.12,0.03,0.247602040816327,0.12,0.03,-535.970453799411
0.23,0.12,0.03,0.254642857142857,0.12,0.03,-536.417498830751
0.23,0.12,0.03,0.261683673469388,0.12,0.03,-537.10226312515
0.23,0.12,0.03,0.268724489795918,0.12,0.03,-538.013972409814
0.23,0.12,0.03,0.275765306122449,0.12,0.03,-539.142375464211
0.23,0.12,0.03,0.28280612244898,0.12,0.03,-540.477724449232
0.23,0.12,0.03,0.28984693877551,0.12,0.03,-542.01075485123
0.23,0.12,0.03,0.296887755102041,0.12,0.03,-543.732665155223
0.23,0.12,0.03,0.303928571428571,0.12,0.03,-545.635096390968
0.23,0.12,0.03,0.310969387755102,0.12,0.03,-547.710111705535
0.23,0.12,0.03,0.318010204081633,0.12,0.03,-549.950176112777
0.23,0.12,0.03,0.325051020408163,0.12,0.03,-552.348136558378
0.23,0.12,0.03,0.332091836734694,0.12,0.03,-554.897202422447
0.23,0.12,0.03,0.339132653061224,0.12,0.03,-557.590926562475
0.23,0.12,0.03,0.346173469387755,0.12,0.03,-560.423186979655
0.23,0.12,0.03,0.353214285714286,0.12,0.03,-563.388169172309
0.23,0.12,0.03,0.360255102040816,0.12,0.03,-566.480349222266
0.23,0.12,0.03,0.367295918367347,0.12,0.03,-569.694477643935
0.23,0.12,0.03,0.374336734693878,0.12,0.03,-573.025564011788
0.23,0.12,0.03,0.381377551020408,0.12,0.03,-576.468862370006
0.23,0.12,0.03,0.388418367346939,0.12,0.03,-580.01985741813
0.23,0.12,0.03,0.395459183673469,0.12,0.03,-583.674251458589
0.23,0.12,0.03,0.4025,0.12,0.03,-587.427952085705
0.23,0.12,0.05,0.23,0.12,0.0125,-540.568372830816
0.23,0.12,0.05,0.23,0.12,0.014030612244898,-535.417868293043
0.23,0.12,0.05,0.23,0.12,0.0155612244897959,-531.056851490302
0.23,0.12,0.05,0.23,0.12,0.0170918367346939,-527.32289706694
0.23,0.12,0.05,0.23,0.12,0.0186224489795918,-524.097542349928
0.23,0.12,0.05,0.23,0.12,0.0201530612244898,-521.291937581866
0.23,0.12,0.05,0.23,0.12,0.0216836734693878,-518.837872733428
0.23,0.12,0.05,0.23,0.12,0.0232142857142857,-516.681940088772
0.23,0.12,0.05,0.23,0.12,0.0247448979591837,-514.781608507969
0.23,0.12,0.05,0.23,0.12,0.0262755102040816,-513.10250746889
0.23,0.12,0.05,0.23,0.12,0.0278061224489796,-511.616501563882
0.23,0.12,0.05,0.23,0.12,0.0293367346938776,-510.300295960887
0.23,0.12,0.05,0.23,0.12,0.0308673469387755,-509.134407262742
0.23,0.12,0.05,0.23,0.12,0.0323979591836735,-508.102391254996
0.23,0.12,0.05,0.23,0.12,0.0339285714285714,-507.190254719821
0.23,0.12,0.05,0.23,0.12,0.0354591836734694,-506.38600139993
0.23,0.12,0.05,0.23,0.12,0.0369897959183674,-505.679277242737
0.23,0.12,0.05,0.23,0.12,0.0385204081632653,-505.061090145648
0.23,0.12,0.05,0.23,0.12,0.0400510204081633,-504.523586318587
0.23,0.12,0.05,0.23,0.12,0.0415816326530612,-504.05987017268
0.23,0.12,0.05,0.23,0.12,0.0431122448979592,-503.663858027439
0.23,0.12,0.05,0.23,0.12,0.0446428571428571,-503.330158351743
0.23,0.12,0.05,0.23,0.12,0.0461734693877551,-503.053973011804
0.23,0.12,0.05,0.23,0.12,0.0477040816326531,-502.831015290229
0.23,0.12,0.05,0.23,0.12,0.049234693877551,-502.657441399033
0.23,0.12,0.05,0.23,0.12,0.050765306122449,-502.529792928826
0.23,0.12,0.05,0.23,0.12,0.0522959183673469,-502.444948221533
0.23,0.12,0.05,0.23,0.12,0.0538265306122449,-502.40008107078
0.23,0.12,0.05,0.23,0.12,0.0553571428571429,-502.392625475422
0.23,0.12,0.05,0.23,0.12,0.0568877551020408,-502.420245421537
0.23,0.12,0.05,0.23,0.12,0.0584183673469388,-502.480808863741
0.23,0.12,0.05,0.23,0.12,0.0599489795918367,-502.572365230962
0.23,0.12,0.05,0.23,0.12,0.0614795918367347,-502.693125904232
0.23,0.12,0.05,0.23,0.12,0.0630102040816326,-502.841447211888
0.23,0.12,0.05,0.23,0.12,0.0645408163265306,-503.015815566125
0.23,0.12,0.05,0.23,0.12,0.0660714285714286,-503.214834428407
0.23,0.12,0.05,0.23,0.12,0.0676020408163265,-503.437212842806
0.23,0.12,0.05,0.23,0.12,0.0691326530612245,-503.681755318469
0.23,0.12,0.05,0.23,0.12,0.0706632653061224,-503.947352877016
0.23,0.12,0.05,0.23,0.12,0.0721938775510204,-504.232975109116
0.23,0.12,0.05,0.23,0.12,0.0737244897959184,-504.537663108136
0.23,0.12,0.05,0.23,0.12,0.0752551020408163,-504.860523168322
0.23,0.12,0.05,0.23,0.12,0.0767857142857143,-505.200721151368
0.23,0.12,0.05,0.23,0.12,0.0783163265306122,-505.557477438946
0.23,0.12,0.05,0.23,0.12,0.0798469387755102,-505.930062400301
0.23,0.12,0.05,0.23,0.12,0.0813775510204082,-506.317792313759
0.23,0.12,0.05,0.23,0.12,0.0829081632653061,-506.720025689234
0.23,0.12,0.05,0.23,0.12,0.0844387755102041,-507.13615994583
0.23,0.12,0.05,0.23,0.12,0.085969387755102,-507.565628404617
0.23,0.12,0.05,0.23,0.12,0.0875,-508.007897561736
0.23,0.16,0.03,0.23,0.04,0.03,-676.932934239699
0.23,0.16,0.03,0.23,0.0448979591836735,0.03,-673.410964330011
0.23,0.16,0.03,0.23,0.0497959183673469,0.03,-669.985337541748
0.23,0.16,0.03,0.23,0.0546938775510204,0.03,-666.659141480959
0.23,0.16,0.03,0.23,0.0595918367346939,0.03,-663.435520698394
0.23,0.16,0.03,0.23,0.0644897959183673,0.03,-660.317671496739
0.23,0.16,0.03,0.23,0.0693877551020408,0.03,-657.308835837372
0.23,0.16,0.03,0.23,0.0742857142857143,0.03,-654.412294276145
0.23,0.16,0.03,0.23,0.0791836734693878,0.03,-651.631357860828
0.23,0.16,0.03,0.23,0.0840816326530612,0.03,-648.96935892821
0.23,0.16,0.03,0.23,0.0889795918367347,0.03,-646.429640747109
0.23,0.16,0.03,0.23,0.0938775510204082,0.03,-644.015545964786
0.23,0.16,0.03,0.23,0.0987755102040816,0.03,-641.730403829109
0.23,0.16,0.03,0.23,0.103673469387755,0.03,-639.577516177382
0.23,0.16,0.03,0.23,0.108571428571429,0.03,-637.560142205244
0.23,0.16,0.03,0.23,0.113469387755102,0.03,-635.681482055574
0.23,0.16,0.03,0.23,0.118367346938776,0.03,-633.944659297696
0.23,0.16,0.03,0.23,0.123265306122449,0.03,-632.352702400955
0.23,0.16,0.03,0.23,0.128163265306122,0.03,-630.908525343426
0.23,0.16,0.03,0.23,0.133061224489796,0.03,-629.614907535119
0.23,0.16,0.03,0.23,0.137959183673469,0.03,-628.47447327436
0.23,0.16,0.03,0.23,0.142857142857143,0.03,-627.489670994612
0.23,0.16,0.03,0.23,0.147755102040816,0.03,-626.66275259513
0.23,0.16,0.03,0.23,0.15265306122449,0.03,-625.995753180486
0.23,0.16,0.03,0.23,0.157551020408163,0.03,-625.490471559305
0.23,0.16,0.03,0.23,0.162448979591837,0.03,-625.148451869395
0.23,0.16,0.03,0.23,0.16734693877551,0.03,-624.97096670302
0.23,0.16,0.03,0.23,0.172244897959184,0.03,-624.959002100945
0.23,0.16,0.03,0.23,0.177142857142857,0.03,-625.113244765862
0.23,0.16,0.03,0.23,0.182040816326531,0.03,-625.434071814583
