"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"69",0.23,0.08,0.03,0.23,0.0641,0.03,-509.2164,-525.3559,"Gamma"
"70",0.23,0.08,0.03,0.23,0.0665,0.03,-509.1251,-525.1879,"Gamma"
"71",0.23,0.08,0.03,0.23,0.069,0.03,-509.0539,-525.0541,"Gamma"
"72",0.23,0.08,0.03,0.23,0.0714,0.03,-509.0029,-525.0357,"Gamma"
"73",0.23,0.08,0.03,0.23,0.0739,0.03,-508.9722,-524.9279,"Gamma"
"74",0.23,0.08,0.03,0.23,0.0763,0.03,-508.9618,-524.851,"Gamma"
"75",0.23,0.08,0.03,0.23,0.0788,0.03,-508.9718,-524.8984,"Gamma"
"76",0.23,0.08,0.03,0.23,0.0812,0.03,-509.0022,-524.9297,"Gamma"
"77",0.23,0.08,0.03,0.23,0.0837,0.03,-509.0531,-525.0221,"Gamma"
"78",0.23,0.08,0.03,0.23,0.0861,0.03,-509.1245,-525.0768,"Gamma"
"79",0.23,0.08,0.03,0.23,0.0886,0.03,-509.2164,-525.2732,"Gamma"
"80",0.23,0.08,0.03,0.23,0.091,0.03,-509.3289,-525.1905,"Gamma"
"81",0.23,0.08,0.03,0.23,0.0935,0.03,-509.462,-525.5146,"Gamma"
"82",0.23,0.08,0.03,0.23,0.0959,0.03,-509.6158,-525.8908,"Gamma"
"83",0.23,0.08,0.03,0.23,0.0984,0.03,-509.7902,-526.1377,"Gamma"
"84",0.23,0.08,0.03,0.23,0.1008,0.03,-509.9853,-526.3031,"Gamma"
"85",0.23,0.08,0.03,0.23,0.1033,0.03,-510.2011,-526.692,"Gamma"
"86",0.23,0.08,0.03,0.23,0.1057,0.03,-510.4375,-527.4413,"Gamma"
"87",0.23,0.08,0.03,0.23,0.1082,0.03,-510.6947,-527.9712,"Gamma"
"88",0.23,0.08,0.03,0.23,0.1106,0.03,-510.9725,-528.5197,"Gamma"
"89",0.23,0.08,0.03,0.23,0.1131,0.03,-511.2711,-528.8921,"Gamma"
"90",0.23,0.08,0.03,0.23,0.1155,0.03,-511.5903,-529.636,"Gamma"
"91",0.23,0.08,0.03,0.23,0.118,0.03,-511.9302,-530.724,"Gamma"
"92",0.23,0.08,0.03,0.23,0.1204,0.03,-512.2907,-531.7588,"Gamma"
"93",0.23,0.08,0.03,0.23,0.1229,0.03,-512.6719,-531.7583,"Gamma"
"94",0.23,0.08,0.03,0.23,0.1253,0.03,-513.0736,-533.4217,"Gamma"
"95",0.23,0.08,0.03,0.23,0.1278,0.03,-513.496,-534.5421,"Gamma"
"96",0.23,0.08,0.03,0.23,0.1302,0.03,-513.9388,-535.8221,"Gamma"
"97",0.23,0.08,0.03,0.23,0.1327,0.03,-514.4022,-536.6899,"Gamma"
"98",0.23,0.08,0.03,0.23,0.1351,0.03,-514.886,-538.6195,"Gamma"
"99",0.23,0.08,0.03,0.23,0.1376,0.03,-515.3902,-539.5279,"Gamma"
"100",0.23,0.08,0.03,0.23,0.14,0.03,-515.9147,-541.2466,"Gamma"
"101",0.23,0.12,0.01,0.23,0.12,0.0025,-610.1338,-655.8961,"Psi"
"102",0.23,0.12,0.01,0.23,0.12,0.0028,-605.2207,-647.1162,"Psi"
"103",0.23,0.12,0.01,0.23,0.12,0.0031,-601.1068,-640.6935,"Psi"
"104",0.23,0.12,0.01,0.23,0.12,0.0034,-597.6201,-635.2187,"Psi"
"105",0.23,0.12,0.01,0.23,0.12,0.0037,-594.6362,-629.5921,"Psi"
"106",0.23,0.12,0.01,0.23,0.12,0.004,-592.0624,-625.085,"Psi"
"107",0.23,0.12,0.01,0.23,0.12,0.0043,-589.8281,-620.5378,"Psi"
"108",0.23,0.12,0.01,0.23,0.12,0.0046,-587.8786,-619.1492,"Psi"
"109",0.23,0.12,0.01,0.23,0.12,0.0049,-586.1703,-615.694,"Psi"
"110",0.23,0.12,0.01,0.23,0.12,0.0053,-584.6686,-611.5867,"Psi"
"111",0.23,0.12,0.01,0.23,0.12,0.0056,-583.3453,-609.4671,"Psi"
"112",0.23,0.12,0.01,0.23,0.12,0.0059,-582.1769,-607.283,"Psi"
"113",0.23,0.12,0.01,0.23,0.12,0.0062,-581.1444,-605.1194,"Psi"
"114",0.23,0.12,0.01,0.23,0.12,0.0065,-580.2315,-603.6078,"Psi"
"115",0.23,0.12,0.01,0.23,0.12,0.0068,-579.4246,-601.7863,"Psi"
"116",0.23,0.12,0.01,0.23,0.12,0.0071,-578.7121,-600.2864,"Psi"
"117",0.23,0.12,0.01,0.23,0.12,0.0074,-578.084,-598.9062,"Psi"
"118",0.23,0.12,0.01,0.23,0.12,0.0077,-577.5316,-598.1452,"Psi"
"119",0.23,0.12,0.01,0.23,0.12,0.008,-577.0477,-596.6091,"Psi"
"120",0.23,0.12,0.01,0.23,0.12,0.0083,-576.6256,-596.1916,"Psi"
"121",0.23,0.12,0.01,0.23,0.12,0.0086,-576.2597,-594.611,"Psi"
"122",0.23,0.12,0.01,0.23,0.12,0.0089,-575.9449,-593.9796,"Psi"
"123",0.23,0.12,0.01,0.23,0.12,0.0092,-575.6769,-593.5363,"Psi"
"124",0.23,0.12,0.01,0.23,0.12,0.0095,-575.4517,-592.7764,"Psi"
"125",0.23,0.12,0.01,0.23,0.12,0.0098,-575.2659,-592.4055,"Psi"
"126",0.23,0.12,0.01,0.23,0.12,0.0102,-575.1162,-591.9769,"Psi"
"127",0.23,0.12,0.01,0.23,0.12,0.0105,-574.9999,-591.5285,"Psi"
