"Approach","Scenario","Parameter","Mean","HPD Interval","Rhat","ESS"
"Medium Transmission Noise","Phylo","initialBeta",0.31367,"0.20134,0.46008",1.0113,168
"Medium Transmission Noise","Phylo","betaJitter",0.02502,"0.01504,0.03982",1.0117,162
"Medium Transmission Noise","Combined","gamma",0.21349,"0.12967,0.31175",1.0203,95
"Medium Transmission Noise","Combined","psi",0.00131,"0.00062,0.00182",1.0204,95
"Medium Transmission Noise","Combined","phi",0.02001,"0.01131,0.02498",1.02,96
"Medium Transmission Noise","Combined","initialBeta",0.4871,"0.24762,0.714",1.0204,94
"Medium Transmission Noise","Combined","betaJitter",0.04404,"0.0172,0.08159",1.0205,94
"High Transmission Noise","Epi","gamma",0.18754,"0.14667,0.24003",1.0105,180
"High Transmission Noise","Epi","phi",0.02017,"0.00683,0.03243",1.019,101
"High Transmission Noise","Epi","initialBeta",0.64839,"0.2726,0.8918",1.0168,115
"High Transmission Noise","Epi","betaJitter",0.07588,"0.06096,0.09516",1.0107,175
"High Transmission Noise","Phylo","gamma",0.15555,"0.11623,0.19196",1.0179,107
"High Transmission Noise","Phylo","psi",0.00125,"0.00089,0.00172",1.0193,100
"High Transmission Noise","Phylo","initialBeta",0.56625,"0.399,0.82264",1.0171,112
"High Transmission Noise","Phylo","betaJitter",0.07221,"0.05237,0.09678",1.0167,115
"High Transmission Noise","Combined","gamma",0.1982,"0.15348,0.28003",1.0164,117
"High Transmission Noise","Combined","psi",0.00094,"0.00069,0.00125",1.0159,120
"High Transmission Noise","Combined","phi",0.01895,"0.01369,0.02447",1.0176,110
"High Transmission Noise","Combined","initialBeta",0.46176,"0.20259,0.64593",1.0183,105
"High Transmission Noise","Combined","betaJitter",0.07502,"0.05524,0.09463",1.0166,115
"Low Observation Noise","Epi","gamma",0.10882,"0.06893,0.20202",1.0183,79
"Low Observation Noise","Epi","phi",0.01354,"0.00348,0.02667",1.0247,59
"Low Observation Noise","Epi","initialBeta",0.4616,"0.21068,0.70571",1.0192,75
"Low Observation Noise","Epi","betaJitter",0.03951,"0.02486,0.05724",1.0185,78
"Low Observation Noise","Phylo","gamma",0.1477,"0.0718,0.24731",1.013,146
"Low Observation Noise","Phylo","psi",0.00116,"0.00052,0.00186",1.0133,144
"Low Observation Noise","Phylo","initialBeta",0.40043,"0.20555,0.58368",1.0123,155
"Low Observation Noise","Phylo","betaJitter",0.02537,"0.01434,0.04409",1.0118,160
"Low Observation Noise","Combined","gamma",0.15831,"0.08398,0.26346",1.0159,121
"Low Observation Noise","Combined","psi",0.0011,"0.00067,0.00162",1.0151,127
"Low Observation Noise","Combined","phi",0.02203,"0.01311,0.0316",1.0158,121
"Low Observation Noise","Combined","initialBeta",0.42091,"0.21588,0.6075",1.0146,131
"Low Observation Noise","Combined","betaJitter",0.02351,"0.01516,0.03354",1.0095,198
"Medium Observation Noise","Epi","gamma",0.17983,"0.10552,0.27653",1.0203,95
"Medium Observation Noise","Epi","phi",0.01891,"0.01064,0.03187",1.0204,94
"Medium Observation Noise","Epi","initialBeta",0.49141,"0.21566,0.83963",1.0206,94
