"Time","Mean","Lower95","Upper95","Rt","Scenario"
18,2.7012,1.8079,3.6743,2.912653360874,"Sampling"
19,2.7012,1.8079,3.6743,2.83071947283486,"Sampling"
20,2.7012,1.8079,3.6743,2.72489932708801,"Sampling"
21,2.7012,1.8079,3.6743,2.60068466696254,"Sampling"
22,2.7012,1.8079,3.6743,2.46361480984769,"Sampling"
23,2.2216,1.3316,3.1319,2.3025206727579,"Sampling"
24,2.2216,1.3316,3.1319,2.11477910190246,"Sampling"
25,2.2216,1.3316,3.1319,1.91555101857669,"Sampling"
26,2.2216,1.3316,3.1319,1.70578078443296,"Sampling"
27,2.2216,1.3316,3.1319,1.50559813972435,"Sampling"
28,1.0418,0.2797,1.8057,1.3196973518285,"Sampling"
29,1.0418,0.2797,1.8057,1.1388176013176,"Sampling"
30,1.0418,0.2797,1.8057,0.979760960193653,"Sampling"
31,1.0418,0.2797,1.8057,0.836866136959016,"Sampling"
32,1.0418,0.2797,1.8057,0.718571279756513,"Sampling"
33,0.6345,0.0474,1.1334,0.623668862258074,"Sampling"
34,0.6345,0.0474,1.1334,0.543685888244248,"Sampling"
35,0.6345,0.0474,1.1334,0.481666162557166,"Sampling"
36,0.6345,0.0474,1.1334,0.426494195459713,"Sampling"
37,0.6345,0.0474,1.1334,0.382908140517201,"Sampling"
38,0.4887,0.00013222,1.1724,0.348979807175073,"Sampling"
39,0.4887,0.00013222,1.1724,0.322139557481243,"Sampling"
40,0.4887,0.00013222,1.1724,0.300742460664336,"Sampling"
41,0.4887,0.00013222,1.1724,0.281113360323887,"Sampling"
42,0.4887,0.00013222,1.1724,0.263620906532492,"Sampling"
43,0.446,2.9205e-05,0.9466,0.247529708054184,"Sampling"
44,0.446,2.9205e-05,0.9466,0.236682047460736,"Sampling"
45,0.446,2.9205e-05,0.9466,0.226677317897414,"Sampling"
46,0.446,2.9205e-05,0.9466,0.21700666520979,"Sampling"
47,0.446,2.9205e-05,0.9466,0.209202464202464,"Sampling"
48,0.8119,0.0066085,1.5485,0.201783889187735,"Sampling"
49,0.8119,0.0066085,1.5485,0.194019773330118,"Sampling"
50,0.8119,0.0066085,1.5485,0.189596557288865,"Sampling"
51,0.8119,0.0066085,1.5485,0.183451704545455,"Sampling"
52,0.8119,0.0066085,1.5485,0.178224053174548,"Sampling"
53,0.504,1.0316e-05,1.2953,0.175534781008465,"Sampling"
54,0.504,1.0316e-05,1.2953,0.171968262506724,"Sampling"
55,0.504,1.0316e-05,1.2953,0.16843785247011,"Sampling"
56,0.504,1.0316e-05,1.2953,0.166378621378621,"Sampling"
57,0.504,1.0316e-05,1.2953,0.164734793508378,"Sampling"
58,0.5467,0.00013688,1.4662,0.163063186813187,"Sampling"
59,0.5467,0.00013688,1.4662,0.162083916083916,"Sampling"
60,0.5467,0.00013688,1.4662,0.160961538461538,"Sampling"
61,0.5467,0.00013688,1.4662,0.159869675778767,"Sampling"
62,0.5467,0.00013688,1.4662,0.159260270979021,"Sampling"
63,0.8266,9.9446e-05,2.1107,0.158146853146853,"Sampling"
64,0.8266,9.9446e-05,2.1107,0.157972027972028,"Sampling"
65,0.8266,9.9446e-05,2.1107,0.157972027972028,"Sampling"
66,0.8266,9.9446e-05,2.1107,0.157792207792208,"Sampling"
67,0.8266,9.9446e-05,2.1107,0.157447552447552,"Sampling"
68,3.6542,0.5068,6.6457,0.15729020979021,"Sampling"
67,3.6542,0.5068,6.6457,0.157447552447552,"Sampling"
0,NA,NA,NA,3.14653846153846,"Sampling"
69,NA,NA,NA,0.156803196803197,"Sampling"
70,NA,NA,NA,0.156513032422123,"Sampling"
71,NA,NA,NA,0.156398601398601,"Sampling"
72,NA,NA,NA,0.156398601398601,"Sampling"
73,NA,NA,NA,0.156241258741258,"Sampling"
74,NA,NA,NA,0.155874125874126,"Sampling"
75,NA,NA,NA,0.155769230769231,"Sampling"
76,NA,NA,NA,0.15558941058941,"Sampling"
77,NA,NA,NA,0.155454545454545,"Sampling"
78,NA,NA,NA,0.155454545454545,"Sampling"
79,NA,NA,NA,0.155454545454545,"Sampling"
81,NA,NA,NA,0.155454545454545,"Sampling"
82,NA,NA,NA,0.15513986013986,"Sampling"
83,NA,NA,NA,0.15513986013986,"Sampling"
84,NA,NA,NA,0.15513986013986,"Sampling"
85,NA,NA,NA,0.15513986013986,"Sampling"
87,NA,NA,NA,0.15513986013986,"Sampling"
89,NA,NA,NA,0.15513986013986,"Sampling"
94,NA,NA,NA,NA,"Sampling"
4,7.2815,4.9764,9.6744,NA,"Transmission"
5,7.2815,4.9764,9.6744,3.14559440559441,"Transmission"
6,7.2815,4.9764,9.6744,3.14465034965035,"Transmission"
7,7.2815,4.9764,9.6744,3.14291958041958,"Transmission"
8,7.2815,4.9764,9.6744,3.141,"Transmission"
9,7.2815,4.9764,9.6744,3.13948951048951,"Transmission"
10,7.2815,4.9764,9.6744,3.13749125874126,"Transmission"
11,7.2815,4.9764,9.6744,3.13481118881119,"Transmission"
12,7.2815,4.9764,9.6744,3.13133916083916,"Transmission"
13,7.2815,4.9764,9.6744,3.12616783216783,"Transmission"
14,10.6334,8.2515,13.3143,3.12020172135557,"Transmission"
15,10.6334,8.2515,13.3143,3.1118041958042,"Transmission"
16,10.6334,8.2515,13.3143,3.10142045454546,"Transmission"
17,10.6334,8.2515,13.3143,3.08617441382147,"Transmission"
18,10.6334,8.2515,13.3143,3.06449939483593,"Transmission"
19,10.6334,8.2515,13.3143,3.0378040380672,"Transmission"
20,10.6334,8.2515,13.3143,3.00687123922589,"Transmission"
21,10.6334,8.2515,13.3143,2.96578321678322,"Transmission"
22,10.6334,8.2515,13.3143,2.91556664709337,"Transmission"
23,10.6334,8.2515,13.3143,2.85236840330088,"Transmission"
24,2.4563,2.1668,2.7422,2.77000163770656,"Transmission"
25,2.4563,2.1668,2.7422,2.67348988848989,"Transmission"
26,2.4563,2.1668,2.7422,2.55878063683889,"Transmission"
27,2.4563,2.1668,2.7422,2.42876188597987,"Transmission"
28,2.4563,2.1668,2.7422,2.28173477125284,"Transmission"
29,2.4563,2.1668,2.7422,2.12066580960024,"Transmission"
30,2.4563,2.1668,2.7422,1.94884421134421,"Transmission"
31,2.4563,2.1668,2.7422,1.77723147514946,"Transmission"
32,2.4563,2.1668,2.7422,1.62093130749847,"Transmission"
33,2.4563,2.1668,2.7422,1.45902856966216,"Transmission"
34,0.8546,0.7015,1.0023,1.30411529403239,"Transmission"
35,0.8546,0.7015,1.0023,1.16238487927167,"Transmission"
36,0.8546,0.7015,1.0023,1.03657823092938,"Transmission"
37,0.8546,0.7015,1.0023,0.928983779378516,"Transmission"
38,0.8546,0.7015,1.0023,0.838036186187619,"Transmission"
39,0.8546,0.7015,1.0023,0.766952858034552,"Transmission"
40,0.8546,0.7015,1.0023,0.713673045704296,"Transmission"
41,0.8546,0.7015,1.0023,0.663932193460989,"Transmission"
42,0.8546,0.7015,1.0023,0.623074278662514,"Transmission"
43,0.8546,0.7015,1.0023,0.587854047792698,"Transmission"
44,0.3563,0.1773,0.5453,0.5669516534546,"Transmission"
