t,R,S,I,sample
14.669345987448299,27.0,19915.0,58.0,1.0
14.678829285363683,27.0,19914.0,59.0,1.0
14.688511182740147,27.0,19913.0,60.0,1.0
14.720725308644921,28.0,19913.0,59.0,1.0
14.789777391115711,28.0,19912.0,60.0,1.0
14.85515206788214,29.0,19912.0,59.0,1.0
14.887732011688636,30.0,19912.0,58.0,1.0
14.900627253251143,30.0,19911.0,59.0,1.0
14.920992470037742,30.0,19910.0,60.0,1.0
14.93033533933651,30.0,19909.0,61.0,1.0
14.935896303419804,30.0,19908.0,62.0,1.0
14.94108901722928,30.0,19907.0,63.0,1.0
14.968029935285312,31.0,19907.0,62.0,1.0
15.03798009109948,31.0,19906.0,63.0,1.0
15.051483580963541,31.0,19905.0,64.0,1.0
15.118615276349399,32.0,19905.0,63.0,2.0
15.122804893142662,33.0,19905.0,62.0,2.0
15.14322296298528,33.0,19904.0,63.0,2.0
15.154753441481665,33.0,19903.0,64.0,2.0
15.162608811135952,33.0,19902.0,65.0,2.0
15.206181485808173,34.0,19902.0,64.0,2.0
15.238449984693686,34.0,19901.0,65.0,2.0
15.255461241617347,34.0,19900.0,66.0,2.0
15.271471798982759,34.0,19899.0,67.0,2.0
15.298626059818622,34.0,19898.0,68.0,2.0
15.313893333849997,35.0,19898.0,67.0,2.0
15.325976687992668,35.0,19897.0,68.0,2.0
15.355038698240946,35.0,19896.0,69.0,2.0
15.398145160008582,36.0,19896.0,68.0,2.0
15.401171142664499,36.0,19895.0,69.0,2.0
15.414852764835507,37.0,19895.0,68.0,2.0
15.437692263254217,38.0,19895.0,67.0,2.0
15.439388463983061,38.0,19894.0,68.0,2.0
15.471097151447267,38.0,19893.0,69.0,2.0
15.474205309048678,38.0,19892.0,70.0,2.0
15.568466980717693,38.0,19891.0,71.0,2.0
15.595033118251683,38.0,19890.0,72.0,2.0
15.66807790680326,38.0,19889.0,73.0,2.0
15.678712142417742,39.0,19889.0,72.0,3.0
15.686014080608752,39.0,19888.0,73.0,3.0
15.688784206396289,39.0,19887.0,74.0,3.0
15.726327584201139,39.0,19886.0,75.0,3.0
15.727532200232492,39.0,19885.0,76.0,3.0
15.736446579737262,39.0,19884.0,77.0,3.0
15.740572737193153,39.0,19883.0,78.0,3.0
15.746202372495782,40.0,19883.0,77.0,3.0
15.751806375227092,41.0,19883.0,76.0,3.0
15.796358760688898,41.0,19882.0,77.0,3.0
15.849773691000209,41.0,19881.0,78.0,3.0
15.865846620611796,41.0,19880.0,79.0,3.0
15.867526273784406,41.0,19879.0,80.0,3.0
15.885082810375765,41.0,19878.0,81.0,3.0
15.913360646966053,41.0,19877.0,82.0,3.0
15.913403123006955,42.0,19877.0,81.0,3.0
15.961756361730288,42.0,19876.0,82.0,3.0
15.966251709096523,43.0,19876.0,81.0,3.0
15.96933433381967,43.0,19875.0,82.0,3.0
15.970889361063598,43.0,19874.0,83.0,3.0
15.98021737011627,43.0,19873.0,84.0,3.0
15.983972787879473,43.0,19872.0,85.0,3.0
15.985463079863072,43.0,19871.0,86.0,3.0
16.011197656514234,43.0,19870.0,87.0,3.0
16.02691085364404,44.0,19870.0,86.0,3.0
16.030254617065754,44.0,19869.0,87.0,3.0
16.056367230757854,45.0,19869.0,86.0,3.0
16.07923774873201,45.0,19868.0,87.0,3.0
16.07932219054477,45.0,19867.0,88.0,3.0
16.106004739569297,45.0,19866.0,89.0,3.0
16.119034465471284,45.0,19865.0,90.0,3.0
16.124569671431562,46.0,19865.0,89.0,4.0
16.139770781187405,46.0,19864.0,90.0,4.0
16.174160069183557,46.0,19863.0,91.0,4.0
16.21044094428453,46.0,19862.0,92.0,4.0
16.21179032441938,46.0,19861.0,93.0,4.0
16.213835404644318,47.0,19861.0,92.0,4.0
16.22048291270129,47.0,19860.0,93.0,4.0
16.252659494983895,47.0,19859.0,94.0,4.0
16.296327284155133,47.0,19858.0,95.0,4.0
16.30743208841504,48.0,19858.0,94.0,4.0
16.315749839832446,48.0,19857.0,95.0,4.0
16.332366571386032,49.0,19857.0,94.0,4.0
16.342666278705767,49.0,19856.0,95.0,4.0
16.34487142310777,49.0,19855.0,96.0,4.0
16.37323131657978,49.0,19854.0,97.0,4.0
16.376660860462923,49.0,19853.0,98.0,4.0
16.395020099824347,49.0,19852.0,99.0,4.0
16.397866496367246,50.0,19852.0,98.0,4.0
16.419716764607944,51.0,19852.0,97.0,4.0
16.42170469141902,51.0,19851.0,98.0,4.0
16.428309797297093,51.0,19850.0,99.0,4.0
16.433643215282412,52.0,19850.0,98.0,4.0
16.436547329547093,52.0,19849.0,99.0,4.0
16.448859405566537,52.0,19848.0,100.0,4.0
16.479070919595568,52.0,19847.0,101.0,4.0
16.541863357162487,53.0,19847.0,100.0,4.0
16.54991120195472,53.0,19846.0,101.0,4.0
16.551668460941382,54.0,19846.0,100.0,4.0
16.573076110468758,54.0,19845.0,101.0,4.0
16.59058020272864,54.0,19844.0,102.0,4.0
16.591634628038978,54.0,19843.0,103.0,4.0
16.601676280467863,54.0,19842.0,104.0,4.0
16.637645442993776,54.0,19841.0,105.0,4.0
16.639155731306605,54.0,19840.0,106.0,4.0
16.6409448539466,54.0,19839.0,107.0,4.0
16.642700228226115,54.0,19838.0,108.0,4.0
16.64784631890109,54.0,19837.0,109.0,4.0
16.657395130965856,55.0,19837.0,108.0,4.0
16.660783647507404,55.0,19836.0,109.0,4.0
16.666960914696624,55.0,19835.0,110.0,4.0
16.681737253743567,55.0,19834.0,111.0,4.0
16.681984812201087,55.0,19833.0,112.0,4.0
16.68330152009362,55.0,19832.0,113.0,4.0
16.686057359548013,56.0,19832.0,112.0,4.0
16.692036413124093,56.0,19831.0,113.0,4.0
16.696944618814022,56.0,19830.0,114.0,4.0
16.709174868450244,56.0,19829.0,115.0,4.0
16.727754962889016,56.0,19828.0,116.0,4.0
16.73286046835656,56.0,19827.0,117.0,4.0
16.772365718553058,56.0,19826.0,118.0,4.0
16.783549118506613,56.0,19825.0,119.0,4.0
16.78644737146427,57.0,19825.0,118.0,4.0
16.824146501660145,58.0,19825.0,117.0,4.0
16.829050116235024,58.0,19824.0,118.0,4.0
16.834215265735516,58.0,19823.0,119.0,4.0
16.836264796255076,58.0,19822.0,120.0,4.0
16.837591627896455,58.0,19821.0,121.0,4.0
16.839436548410188,58.0,19820.0,122.0,4.0
16.84208987317912,58.0,19819.0,123.0,4.0
16.843845013248696,59.0,19819.0,122.0,4.0
16.84560374324709,59.0,19818.0,123.0,4.0
16.863265317831242,59.0,19817.0,124.0,4.0
16.865175505994245,59.0,19816.0,125.0,4.0
16.871322111010993,59.0,19815.0,126.0,4.0
16.887169701078893,59.0,19814.0,127.0,4.0
16.891968973311865,59.0,19813.0,128.0,4.0
16.89246011910253,59.0,19812.0,129.0,4.0
16.89453342815635,60.0,19812.0,128.0,4.0
16.917509464881164,60.0,19811.0,129.0,4.0
16.92428256163821,60.0,19810.0,130.0,4.0
16.932818698085295,60.0,19809.0,131.0,4.0
16.944423784862618,61.0,19809.0,130.0,4.0
16.960235658784846,62.0,19809.0,129.0,5.0
16.961379397839682,62.0,19808.0,130.0,5.0
16.972088334720915,62.0,19807.0,131.0,5.0
16.97817098055291,62.0,19806.0,132.0,5.0
16.98102604255698,62.0,19805.0,133.0,5.0
16.996754003504613,62.0,19804.0,134.0,5.0
17.013633322784376,62.0,19803.0,135.0,5.0
17.023177996826714,62.0,19802.0,136.0,5.0
17.032778758373823,62.0,19801.0,137.0,5.0
17.04985498946076,62.0,19800.0,138.0,5.0
17.056378253041846,62.0,19799.0,139.0,5.0
17.0613662881078,62.0,19798.0,140.0,5.0
17.065355960929256,62.0,19797.0,141.0,5.0
17.07739273673377,62.0,19796.0,142.0,5.0
17.09660496461057,62.0,19795.0,143.0,5.0
17.142002040440783,62.0,19794.0,144.0,5.0
17.14608744954905,62.0,19793.0,145.0,5.0
17.156160971229834,62.0,19792.0,146.0,5.0
17.163765739423493,62.0,19791.0,147.0,5.0
17.1648637315253,63.0,19791.0,146.0,5.0
17.181328585953075,63.0,19790.0,147.0,5.0
17.191048503159095,63.0,19789.0,148.0,5.0
17.19143707043217,63.0,19788.0,149.0,5.0
17.196628441230057,63.0,19787.0,150.0,5.0
17.20178239076634,63.0,19786.0,151.0,5.0
17.227595593742613,63.0,19785.0,152.0,5.0
17.233195530109867,64.0,19785.0,151.0,5.0
17.24387747493957,64.0,19784.0,152.0,5.0
17.24518253218853,64.0,19783.0,153.0,5.0
17.256979402729947,64.0,19782.0,154.0,5.0
17.276799429293384,64.0,19781.0,155.0,5.0
17.301001776795903,65.0,19781.0,154.0,5.0
17.313780758493788,66.0,19781.0,153.0,5.0
17.317466870318434,66.0,19780.0,154.0,5.0
17.34976204690097,66.0,19779.0,155.0,5.0
17.362190189246117,66.0,19778.0,156.0,5.0
17.36783352453653,66.0,19777.0,157.0,5.0
17.37990157171215,67.0,19777.0,156.0,5.0
17.381349444328517,67.0,19776.0,157.0,5.0
17.381417270547793,67.0,19775.0,158.0,5.0
17.394282539487843,67.0,19774.0,159.0,5.0
17.396792669954426,68.0,19774.0,158.0,5.0
17.399438883924528,68.0,19773.0,159.0,5.0
17.40741169475621,68.0,19772.0,160.0,5.0
17.41294604823803,68.0,19771.0,161.0,5.0
17.413287905172634,68.0,19770.0,162.0,5.0
17.42396416681794,68.0,19769.0,163.0,5.0
17.433608619669346,68.0,19768.0,164.0,5.0
17.44362827925072,68.0,19767.0,165.0,5.0
17.445272847636605,68.0,19766.0,166.0,5.0
17.46077361438204,68.0,19765.0,167.0,5.0
17.47308020908773,68.0,19764.0,168.0,5.0
17.477975228413833,69.0,19764.0,167.0,5.0
17.488442474891396,69.0,19763.0,168.0,5.0
17.49562324915387,69.0,19762.0,169.0,5.0
17.496848620212788,69.0,19761.0,170.0,5.0
17.50747231745186,70.0,19761.0,169.0,5.0
17.516319527235073,70.0,19760.0,170.0,5.0
17.518374484176018,70.0,19759.0,171.0,5.0
17.519468254237246,70.0,19758.0,172.0,5.0
17.529097999351947,71.0,19758.0,171.0,5.0
17.53745063253156,71.0,19757.0,172.0,5.0
17.543676226862434,71.0,19756.0,173.0,5.0
17.5618646591784,71.0,19755.0,174.0,5.0
17.562980441537032,71.0,19754.0,175.0,5.0
17.565567971135355,71.0,19753.0,176.0,5.0
17.568047620151876,71.0,19752.0,177.0,5.0
17.575841600963994,71.0,19751.0,178.0,5.0
17.579328580072495,71.0,19750.0,179.0,5.0
17.583856519548203,72.0,19750.0,178.0,6.0
17.590430949694912,72.0,19749.0,179.0,6.0
17.590735936004656,72.0,19748.0,180.0,6.0
17.593298833886962,72.0,19747.0,181.0,6.0
17.598207781961918,72.0,19746.0,182.0,6.0
17.600088687898356,72.0,19745.0,183.0,6.0
17.600294375957894,72.0,19744.0,184.0,6.0
17.607391559306244,72.0,19743.0,185.0,6.0
17.608740076366736,73.0,19743.0,184.0,6.0
17.61171308036026,73.0,19742.0,185.0,6.0
17.628440057360045,73.0,19741.0,186.0,6.0
17.62857950607133,73.0,19740.0,187.0,6.0
17.63879856863832,73.0,19739.0,188.0,6.0
17.63988578176181,73.0,19738.0,189.0,6.0
17.658974310782394,74.0,19738.0,188.0,6.0
17.66077476332553,74.0,19737.0,189.0,6.0
17.665592644858016,74.0,19736.0,190.0,6.0
17.67798038718272,74.0,19735.0,191.0,6.0
17.69130013519735,74.0,19734.0,192.0,6.0
17.695565524249833,75.0,19734.0,191.0,6.0
17.706561761835022,75.0,19733.0,192.0,6.0
17.72206219053893,75.0,19732.0,193.0,6.0
17.727565714642832,76.0,19732.0,192.0,6.0
17.742060995653507,76.0,19731.0,193.0,6.0
17.743238968084846,77.0,19731.0,192.0,7.0
17.75394537907642,77.0,19730.0,193.0,7.0
17.761860835188653,77.0,19729.0,194.0,7.0
17.764528696626073,78.0,19729.0,193.0,8.0
17.76651742740174,78.0,19728.0,194.0,8.0
17.775126882247395,78.0,19727.0,195.0,8.0
17.80827358877674,78.0,19726.0,196.0,8.0
17.81344455254666,79.0,19726.0,195.0,8.0
17.835536338713975,79.0,19725.0,196.0,8.0
17.836962657815757,79.0,19724.0,197.0,8.0
17.838416445029768,79.0,19723.0,198.0,8.0
17.840396466067595,80.0,19723.0,197.0,8.0
17.846129659772156,81.0,19723.0,196.0,8.0
17.850983482067367,81.0,19722.0,197.0,8.0
17.852158370021215,81.0,19721.0,198.0,8.0
17.859568941637246,82.0,19721.0,197.0,8.0
17.859844887102724,82.0,19720.0,198.0,8.0
17.868135906556073,82.0,19719.0,199.0,8.0
17.893621123906332,82.0,19718.0,200.0,8.0
17.90206575184515,82.0,19717.0,201.0,8.0
17.902198137039097,82.0,19716.0,202.0,8.0
17.90467852856066,82.0,19715.0,203.0,8.0
17.911226290647193,82.0,19714.0,204.0,8.0
17.931732999713564,82.0,19713.0,205.0,8.0
17.931833956946974,82.0,19712.0,206.0,8.0
17.93836708243056,82.0,19711.0,207.0,8.0
17.941112126579302,82.0,19710.0,208.0,8.0
17.95274083468916,82.0,19709.0,209.0,8.0
17.961785616838192,83.0,19709.0,208.0,8.0
17.966870591662868,83.0,19708.0,209.0,8.0
17.97479835720126,83.0,19707.0,210.0,8.0
17.97626232997638,83.0,19706.0,211.0,8.0
17.98850727981951,83.0,19705.0,212.0,8.0
17.991092898070352,83.0,19704.0,213.0,8.0
17.9986449635949,83.0,19703.0,214.0,8.0
18.002083034849502,83.0,19702.0,215.0,8.0
18.014142657009106,83.0,19701.0,216.0,8.0
18.016907953963806,83.0,19700.0,217.0,8.0
18.02528959507101,83.0,19699.0,218.0,8.0
18.030551936015772,84.0,19699.0,217.0,8.0
18.041489019318227,84.0,19698.0,218.0,8.0
18.044743214569763,84.0,19697.0,219.0,8.0
18.04791562370981,84.0,19696.0,220.0,8.0
18.04865204237108,84.0,19695.0,221.0,8.0
18.067415816044612,84.0,19694.0,222.0,8.0
18.08665382951995,84.0,19693.0,223.0,8.0
18.094545471634483,84.0,19692.0,224.0,8.0
18.098267539684358,84.0,19691.0,225.0,8.0
18.09861124838663,85.0,19691.0,224.0,8.0
18.09959615849416,85.0,19690.0,225.0,8.0
18.11652560374265,86.0,19690.0,224.0,8.0
18.144964176766674,86.0,19689.0,225.0,8.0
18.15549350955323,86.0,19688.0,226.0,8.0
18.165662191907526,87.0,19688.0,225.0,8.0
18.166541339258753,88.0,19688.0,224.0,8.0
18.168005913284706,88.0,19687.0,225.0,8.0
18.168521951257215,89.0,19687.0,224.0,9.0
18.180028901600394,89.0,19686.0,225.0,9.0
18.185223714667437,89.0,19685.0,226.0,9.0
18.185244151328956,89.0,19684.0,227.0,9.0
18.18738988810891,89.0,19683.0,228.0,9.0
18.188779151495552,90.0,19683.0,227.0,10.0
18.192909381104432,90.0,19682.0,228.0,10.0
18.200936915350596,90.0,19681.0,229.0,10.0
18.215762189622517,91.0,19681.0,228.0,11.0
18.218433170944426,91.0,19680.0,229.0,11.0
18.21938976861608,91.0,19679.0,230.0,11.0
18.23002715037281,91.0,19678.0,231.0,11.0
18.234383681896173,92.0,19678.0,230.0,11.0
18.244366601650412,93.0,19678.0,229.0,11.0
18.25176067178129,93.0,19677.0,230.0,11.0
18.267377655537192,94.0,19677.0,229.0,11.0
18.268903669328214,94.0,19676.0,230.0,11.0
18.27005308132282,95.0,19676.0,229.0,12.0
18.27046863699675,96.0,19676.0,228.0,12.0
18.281651880177552,97.0,19676.0,227.0,13.0
18.2859622325022,97.0,19675.0,228.0,13.0
18.288025475952974,97.0,19674.0,229.0,13.0
