t,R,S,I,sample
12.288365894716616,22.0,19910.0,68.0,1.0
12.302499738849464,22.0,19909.0,69.0,1.0
12.31416984059769,22.0,19908.0,70.0,1.0
12.34592317875477,22.0,19907.0,71.0,1.0
12.349808362645767,22.0,19906.0,72.0,1.0
12.362034041274702,22.0,19905.0,73.0,1.0
12.367220467891226,22.0,19904.0,74.0,1.0
12.378208395825654,22.0,19903.0,75.0,1.0
12.383297857059949,22.0,19902.0,76.0,1.0
12.383971870827166,23.0,19902.0,75.0,1.0
12.397849968405582,23.0,19901.0,76.0,1.0
12.431960536499117,23.0,19900.0,77.0,1.0
12.446244958677948,24.0,19900.0,76.0,2.0
12.471283074859917,25.0,19900.0,75.0,3.0
12.47736451693299,25.0,19899.0,76.0,3.0
12.481221335838766,25.0,19898.0,77.0,3.0
12.49586166175172,25.0,19897.0,78.0,3.0
12.498816178797869,25.0,19896.0,79.0,3.0
12.528595226921334,25.0,19895.0,80.0,3.0
12.5695384118017,26.0,19895.0,79.0,3.0
12.573187017599261,26.0,19894.0,80.0,3.0
12.63030150680866,26.0,19893.0,81.0,3.0
12.640098771007755,26.0,19892.0,82.0,3.0
12.653977626888333,26.0,19891.0,83.0,3.0
12.673329593479396,26.0,19890.0,84.0,3.0
12.677133257831425,26.0,19889.0,85.0,3.0
12.684916820197001,26.0,19888.0,86.0,3.0
12.713535690393414,27.0,19888.0,85.0,3.0
12.758352285093705,28.0,19888.0,84.0,3.0
12.76284826135683,28.0,19887.0,85.0,3.0
12.779025383273396,28.0,19886.0,86.0,3.0
12.797142795010929,29.0,19886.0,85.0,3.0
12.840751294105466,29.0,19885.0,86.0,3.0
12.890961536598821,29.0,19884.0,87.0,3.0
12.8970378615131,29.0,19883.0,88.0,3.0
12.922189104675187,29.0,19882.0,89.0,3.0
12.924889511589662,29.0,19881.0,90.0,3.0
12.939373172298819,29.0,19880.0,91.0,3.0
12.970245969127399,29.0,19879.0,92.0,3.0
12.976592348637006,29.0,19878.0,93.0,3.0
12.985288011921108,29.0,19877.0,94.0,3.0
12.991777181955012,29.0,19876.0,95.0,3.0
13.002366487497582,29.0,19875.0,96.0,3.0
13.009882542075282,30.0,19875.0,95.0,3.0
13.038855755187116,30.0,19874.0,96.0,3.0
13.040903276103824,30.0,19873.0,97.0,3.0
13.048664076127526,30.0,19872.0,98.0,3.0
13.056483877264558,31.0,19872.0,97.0,3.0
13.061205040133308,32.0,19872.0,96.0,3.0
13.064346345405037,33.0,19872.0,95.0,3.0
13.073246480954706,33.0,19871.0,96.0,3.0
13.082993231366345,34.0,19871.0,95.0,4.0
13.092948555305128,35.0,19871.0,94.0,4.0
13.100387109747336,35.0,19870.0,95.0,4.0
13.130607069091171,35.0,19869.0,96.0,4.0
13.171203582225404,35.0,19868.0,97.0,4.0
13.18947626919306,35.0,19867.0,98.0,4.0
13.213098876708576,35.0,19866.0,99.0,4.0
13.227562580186152,35.0,19865.0,100.0,4.0
13.235740537412536,35.0,19864.0,101.0,4.0
13.244122918377984,35.0,19863.0,102.0,4.0
13.247344419281092,35.0,19862.0,103.0,4.0
13.248926929064137,36.0,19862.0,102.0,4.0
13.250232915195822,37.0,19862.0,101.0,4.0
13.253361541629161,38.0,19862.0,100.0,4.0
13.259644708865174,38.0,19861.0,101.0,4.0
13.261247060172117,38.0,19860.0,102.0,4.0
13.267488656989247,38.0,19859.0,103.0,4.0
13.271621723146726,38.0,19858.0,104.0,4.0
13.277700626654923,38.0,19857.0,105.0,4.0
13.295006670442941,39.0,19857.0,104.0,4.0
13.311502385132744,39.0,19856.0,105.0,4.0
13.317667883415668,39.0,19855.0,106.0,4.0
13.375956567954585,39.0,19854.0,107.0,4.0
13.403060727868782,39.0,19853.0,108.0,4.0
13.410111751075515,39.0,19852.0,109.0,4.0
13.411718832550015,39.0,19851.0,110.0,4.0
13.417452870292957,39.0,19850.0,111.0,4.0
13.418130670860327,39.0,19849.0,112.0,4.0
13.429251022901326,40.0,19849.0,111.0,4.0
13.453372515664228,40.0,19848.0,112.0,4.0
13.471508400923966,40.0,19847.0,113.0,4.0
13.504452995784636,40.0,19846.0,114.0,4.0
13.529734955577831,41.0,19846.0,113.0,4.0
13.537488142871007,41.0,19845.0,114.0,4.0
13.562169566062723,42.0,19845.0,113.0,4.0
13.569683880773717,43.0,19845.0,112.0,5.0
13.581531551444684,43.0,19844.0,113.0,5.0
13.599849233105934,43.0,19843.0,114.0,5.0
13.605681835813199,43.0,19842.0,115.0,5.0
13.606209300774776,43.0,19841.0,116.0,5.0
13.611258298070016,43.0,19840.0,117.0,5.0
13.623525386962722,43.0,19839.0,118.0,5.0
13.627979578237808,44.0,19839.0,117.0,5.0
13.640196342896955,44.0,19838.0,118.0,5.0
13.640449666363269,44.0,19837.0,119.0,5.0
13.650704999770921,44.0,19836.0,120.0,5.0
13.679647430518248,44.0,19835.0,121.0,5.0
13.680239355074718,44.0,19834.0,122.0,5.0
13.698368655962117,44.0,19833.0,123.0,5.0
13.70247833496922,44.0,19832.0,124.0,5.0
13.738827371330538,44.0,19831.0,125.0,5.0
13.751503228047785,44.0,19830.0,126.0,5.0
13.75707135255274,44.0,19829.0,127.0,5.0
13.758242626853848,45.0,19829.0,126.0,5.0
13.760287338594331,45.0,19828.0,127.0,5.0
13.768686619133193,45.0,19827.0,128.0,5.0
13.8102752704866,45.0,19826.0,129.0,5.0
13.813177570069554,46.0,19826.0,128.0,5.0
13.842660822956256,46.0,19825.0,129.0,5.0
13.85828440703212,46.0,19824.0,130.0,5.0
13.870309757736976,46.0,19823.0,131.0,5.0
13.871151037854068,46.0,19822.0,132.0,5.0
13.87194607819984,47.0,19822.0,131.0,5.0
13.872503732232584,47.0,19821.0,132.0,5.0
13.894115676494213,48.0,19821.0,131.0,6.0
13.902137739269696,48.0,19820.0,132.0,6.0
13.933196219358328,48.0,19819.0,133.0,6.0
13.940454634234259,48.0,19818.0,134.0,6.0
13.940612449230262,48.0,19817.0,135.0,6.0
13.94313231866604,48.0,19816.0,136.0,6.0
13.966335364157958,49.0,19816.0,135.0,6.0
13.98425438868037,49.0,19815.0,136.0,6.0
14.003887082208333,49.0,19814.0,137.0,6.0
14.013476900207634,50.0,19814.0,136.0,6.0
14.015603369380631,50.0,19813.0,137.0,6.0
14.020801290531944,50.0,19812.0,138.0,6.0
14.029463477869436,50.0,19811.0,139.0,6.0
14.043791434886105,50.0,19810.0,140.0,6.0
14.055790679174144,50.0,19809.0,141.0,6.0
14.05624658652344,50.0,19808.0,142.0,6.0
14.069886894491665,50.0,19807.0,143.0,6.0
14.078961036009217,50.0,19806.0,144.0,6.0
14.09534483217972,50.0,19805.0,145.0,6.0
14.099597386902325,50.0,19804.0,146.0,6.0
14.129642423568713,50.0,19803.0,147.0,6.0
14.133388899557831,50.0,19802.0,148.0,6.0
14.138979393497559,50.0,19801.0,149.0,6.0
14.161783016258653,50.0,19800.0,150.0,6.0
14.176255986717521,50.0,19799.0,151.0,6.0
14.193892076384687,50.0,19798.0,152.0,6.0
14.203760923877427,51.0,19798.0,151.0,7.0
14.214497557350809,51.0,19797.0,152.0,7.0
14.23927422945929,51.0,19796.0,153.0,7.0
14.239622083974277,51.0,19795.0,154.0,7.0
14.272653182147934,52.0,19795.0,153.0,7.0
14.280988939159458,53.0,19795.0,152.0,7.0
14.304239698400647,53.0,19794.0,153.0,7.0
14.315992707403597,53.0,19793.0,154.0,7.0
14.330836509566055,53.0,19792.0,155.0,7.0
14.337419314064011,53.0,19791.0,156.0,7.0
14.352291727607088,53.0,19790.0,157.0,7.0
14.35534234101173,53.0,19789.0,158.0,7.0
14.37572453986865,54.0,19789.0,157.0,7.0
14.378310536522068,54.0,19788.0,158.0,7.0
14.382362833504928,54.0,19787.0,159.0,7.0
14.382703998043908,55.0,19787.0,158.0,7.0
14.392559615814296,56.0,19787.0,157.0,7.0
14.395217117009473,56.0,19786.0,158.0,7.0
14.42142890541544,57.0,19786.0,157.0,8.0
14.422614847188047,58.0,19786.0,156.0,9.0
14.427168587166895,58.0,19785.0,157.0,9.0
14.429489428392733,59.0,19785.0,156.0,9.0
14.435623874191883,60.0,19785.0,155.0,9.0
14.442821226267505,60.0,19784.0,156.0,9.0
14.462919149860026,60.0,19783.0,157.0,9.0
14.492063545382315,60.0,19782.0,158.0,9.0
14.49453851710218,60.0,19781.0,159.0,9.0
14.501763226531425,61.0,19781.0,158.0,9.0
14.504806128303557,61.0,19780.0,159.0,9.0
14.513732659260516,61.0,19779.0,160.0,9.0
14.5282594235647,61.0,19778.0,161.0,9.0
14.529547054971728,61.0,19777.0,162.0,9.0
14.559412427169457,61.0,19776.0,163.0,9.0
14.561265336374166,62.0,19776.0,162.0,10.0
14.563779247620882,62.0,19775.0,163.0,10.0
14.572225215739119,62.0,19774.0,164.0,10.0
14.578171819893798,62.0,19773.0,165.0,10.0
14.578679843358419,62.0,19772.0,166.0,10.0
14.584569264174684,62.0,19771.0,167.0,10.0
14.625476615584411,62.0,19770.0,168.0,10.0
14.634157288238281,63.0,19770.0,167.0,10.0
14.635794597153739,63.0,19769.0,168.0,10.0
14.648155668975358,63.0,19768.0,169.0,10.0
14.649475548685572,64.0,19768.0,168.0,10.0
14.651777654943126,65.0,19768.0,167.0,10.0
14.655010652681163,65.0,19767.0,168.0,10.0
14.658865852097795,65.0,19766.0,169.0,10.0
14.680081874147724,65.0,19765.0,170.0,10.0
14.686000692107623,65.0,19764.0,171.0,10.0
14.689110136840043,65.0,19763.0,172.0,10.0
14.70785153138506,65.0,19762.0,173.0,10.0
14.70838112817702,65.0,19761.0,174.0,10.0
14.711015840066755,65.0,19760.0,175.0,10.0
14.728223069310998,65.0,19759.0,176.0,10.0
14.730304024519983,65.0,19758.0,177.0,10.0
14.738670534761606,65.0,19757.0,178.0,10.0
14.746105001964569,65.0,19756.0,179.0,10.0
14.754279472145008,65.0,19755.0,180.0,10.0
14.758746716892931,65.0,19754.0,181.0,10.0
14.761502630300074,65.0,19753.0,182.0,10.0
14.766603989682165,65.0,19752.0,183.0,10.0
14.771411629666508,65.0,19751.0,184.0,10.0
14.779245886618892,65.0,19750.0,185.0,10.0
14.780932700672311,66.0,19750.0,184.0,10.0
14.782339416000491,66.0,19749.0,185.0,10.0
14.786893661172646,66.0,19748.0,186.0,10.0
14.787875501499817,67.0,19748.0,185.0,10.0
14.798945414633648,68.0,19748.0,184.0,10.0
14.814200896058772,68.0,19747.0,185.0,10.0
14.815010885045346,68.0,19746.0,186.0,10.0
14.820854966084694,68.0,19745.0,187.0,10.0
14.832971431730309,68.0,19744.0,188.0,10.0
14.83468519055988,68.0,19743.0,189.0,10.0
14.838626117359196,69.0,19743.0,188.0,11.0
14.849957611259995,70.0,19743.0,187.0,11.0
14.850006171509085,70.0,19742.0,188.0,11.0
14.860389571619471,71.0,19742.0,187.0,12.0
14.863196276306427,71.0,19741.0,188.0,12.0
14.864129413312815,71.0,19740.0,189.0,12.0
14.88449582928993,71.0,19739.0,190.0,12.0
14.886158719305552,71.0,19738.0,191.0,12.0
14.895109348878377,71.0,19737.0,192.0,12.0
14.901582748191776,71.0,19736.0,193.0,12.0
14.903084101164392,72.0,19736.0,192.0,12.0
14.903906582050864,72.0,19735.0,193.0,12.0
14.904768875061803,72.0,19734.0,194.0,12.0
14.907848446623296,73.0,19734.0,193.0,12.0
14.912415024391569,73.0,19733.0,194.0,12.0
14.913691557111706,74.0,19733.0,193.0,12.0
14.913967917968534,74.0,19732.0,194.0,12.0
14.925634872162052,74.0,19731.0,195.0,12.0
14.931611045246852,74.0,19730.0,196.0,12.0
14.942134856635404,74.0,19729.0,197.0,12.0
14.94893331088894,74.0,19728.0,198.0,12.0
14.959870494435881,74.0,19727.0,199.0,12.0
14.969214156191374,75.0,19727.0,198.0,12.0
14.973832149766261,75.0,19726.0,199.0,12.0
14.988248281953373,76.0,19726.0,198.0,12.0
14.988519598205032,76.0,19725.0,199.0,12.0
14.993426412925176,76.0,19724.0,200.0,12.0
14.999438624617735,76.0,19723.0,201.0,12.0
15.005829274619446,76.0,19722.0,202.0,12.0
15.009110495698835,76.0,19721.0,203.0,12.0
15.009491343764646,76.0,19720.0,204.0,12.0
15.023940879330377,77.0,19720.0,203.0,12.0
15.025551082491777,77.0,19719.0,204.0,12.0
15.031586989041783,77.0,19718.0,205.0,12.0
15.050730189994173,78.0,19718.0,204.0,12.0
15.055380592059095,79.0,19718.0,203.0,12.0
15.061731528617722,79.0,19717.0,204.0,12.0
15.087722796087213,79.0,19716.0,205.0,12.0
15.096702450406438,80.0,19716.0,204.0,12.0
15.096846710287984,80.0,19715.0,205.0,12.0
15.098676598367899,80.0,19714.0,206.0,12.0
15.10164221687288,80.0,19713.0,207.0,12.0
15.109319204245434,81.0,19713.0,206.0,12.0
15.112237167793397,81.0,19712.0,207.0,12.0
15.115562868479824,81.0,19711.0,208.0,12.0
15.12762299635202,81.0,19710.0,209.0,12.0
15.134861574780771,81.0,19709.0,210.0,12.0
15.135514692726016,81.0,19708.0,211.0,12.0
15.162549669367902,81.0,19707.0,212.0,12.0
15.163194616097964,82.0,19707.0,211.0,12.0
15.165038058702256,83.0,19707.0,210.0,12.0
15.171737556965132,84.0,19707.0,209.0,12.0
15.174151066871207,84.0,19706.0,210.0,12.0
15.182447496047672,84.0,19705.0,211.0,12.0
15.193565117973145,84.0,19704.0,212.0,12.0
15.211467123675355,84.0,19703.0,213.0,12.0
15.221920749790879,84.0,19702.0,214.0,12.0
15.222417693756293,84.0,19701.0,215.0,12.0
15.230465733539837,84.0,19700.0,216.0,12.0
15.24171970266565,84.0,19699.0,217.0,12.0
15.254656223941058,85.0,19699.0,216.0,12.0
15.27951620882814,85.0,19698.0,217.0,12.0
15.279835457003642,86.0,19698.0,216.0,12.0
15.28308997586287,86.0,19697.0,217.0,12.0
15.300305865452234,86.0,19696.0,218.0,12.0
15.3099040313821,86.0,19695.0,219.0,12.0
15.310675787514457,86.0,19694.0,220.0,12.0
15.315761374148813,86.0,19693.0,221.0,12.0
